scheme,offset_bohr,n_electrons,e_ne_hartree
A_full_rho,0.0000000000,8.8598934265,-69.8379217825
A_full_rho,0.0179973917,8.8664534842,-69.9182694169
A_full_rho,0.0359947833,8.8856295915,-70.1531514133
A_full_rho,0.0539921750,8.9159286906,-70.5243141792
A_full_rho,0.0719895667,8.9549321135,-71.0021735116
A_full_rho,0.0899869584,8.9994187597,-71.5473047961
A_full_rho,0.1079843500,9.0455665179,-72.1128936390
A_full_rho,0.1259817417,9.0892432558,-72.6482919012
A_full_rho,0.1439791334,9.1263807226,-73.1036015723
A_full_rho,0.1619765250,9.1533990380,-73.4348904290
A_full_rho,0.1799739167,9.1676238597,-73.6093254881
A_full_rho,0.1979713084,9.1676234617,-73.6093249561
A_full_rho,0.2159687001,9.1533978438,-73.4348888323
A_full_rho,0.2339660917,9.1263787308,-73.1035989090
A_full_rho,0.2519634834,9.0892404643,-72.6482881678
A_full_rho,0.2699608751,9.0455629237,-72.1128888309
A_full_rho,0.2879582667,8.9994143588,-71.5472989072
A_full_rho,0.3059556584,8.9549269012,-71.0021665345
A_full_rho,0.3239530501,8.9159226613,-70.5243061051
A_full_rho,0.3419504417,8.8856227385,-70.1531422322
A_full_rho,0.3599478334,8.8664458003,-69.9182591172
B_deformation_only,0.0000000000,0.0000000003,-0.6141937328
B_deformation_only,0.0179973917,0.0000000003,-0.6141937328
B_deformation_only,0.0359947833,0.0000000003,-0.6141937328
B_deformation_only,0.0539921750,0.0000000003,-0.6141937328
B_deformation_only,0.0719895667,0.0000000003,-0.6141937329
B_deformation_only,0.0899869584,0.0000000004,-0.6141937329
B_deformation_only,0.1079843500,0.0000000004,-0.6141937329
B_deformation_only,0.1259817417,0.0000000004,-0.6141937329
B_deformation_only,0.1439791334,0.0000000004,-0.6141937330
B_deformation_only,0.1619765250,0.0000000005,-0.6141937330
B_deformation_only,0.1799739167,0.0000000005,-0.6141937331
B_deformation_only,0.1979713084,0.0000000005,-0.6141937331
B_deformation_only,0.2159687001,0.0000000006,-0.6141937332
B_deformation_only,0.2339660917,0.0000000006,-0.6141937333
B_deformation_only,0.2519634834,0.0000000007,-0.6141937333
B_deformation_only,0.2699608751,0.0000000008,-0.6141937334
B_deformation_only,0.2879582667,0.0000000008,-0.6141937335
B_deformation_only,0.3059556584,0.0000000009,-0.6141937336
B_deformation_only,0.3239530501,0.0000000010,-0.6141937338
B_deformation_only,0.3419504417,0.0000000011,-0.6141937339
B_deformation_only,0.3599478334,0.0000000012,-0.6141937340
