scale,n_bands,frequency_unscaled_cm
0.9097,2488,2043.9120589205236
0.9097,2488,1810.544355281961
0.9097,2488,2025.310651863252
0.9097,2488,1847.235462240299
0.9097,2488,1983.752006155876
0.9097,2488,2074.8309332747062
0.9097,2488,2078.982521710454
0.9097,2488,1996.205562273277
0.9097,2488,1984.5126964933495
0.9097,2488,2032.5379795536992
0.9097,2488,2028.9874683961743
0.9097,2488,1896.07903704518
0.9097,2488,1897.5992085302848
0.9097,2488,2032.821149829614
0.9097,2488,2013.4350884907117
0.9097,2488,2064.494778498406
0.9097,2488,1924.4436627459604
0.9097,2488,2023.7833351654392
0.9097,2488,2015.139276684621
0.9097,2488,1909.720787072661
0.9097,2488,2112.2826206441687
0.9097,2488,1870.756842915247
0.9097,2488,1921.56645047818
0.9097,2488,1944.0548532483235
0.9097,2488,1839.1340002198529
0.9097,2488,2102.2177640980544
0.9097,2488,1905.639001868748
0.9097,2488,2088.849400901396
0.9097,2488,2039.039353633066
0.9097,2488,2052.4215675497417
0.9097,2488,1840.199186545015
0.9097,2488,2001.8730350665053
0.9097,2488,2067.592283170276
0.9097,2488,1890.0039573485767
0.9097,2488,1881.3781466417504
0.9097,2488,2049.141365285259
0.9097,2488,2000.523029570188
0.9097,2488,1868.0194569638345
0.9097,2488,2062.62350225349
0.9097,2488,1897.1895130262724
0.9097,2488,1991.63361547763
0.9097,2488,2090.912828404969
0.9097,2488,1948.5558975486424
0.9097,2488,1963.471584038694
0.9097,2488,1824.4138727052875
0.9097,2488,1950.160932175443
0.9097,2488,1884.134329998901
0.9097,2488,1965.0293503352757
0.9097,2488,2059.473562712982
0.9097,2488,2114.9263493459384
0.9097,2488,1897.11432340332
0.9097,2488,2014.3847422227109
0.9097,2488,2016.113663845224
0.9097,2488,1806.4921402660216
0.9097,2488,1878.5073101022317
0.9097,2488,2092.21688468726
0.9097,2488,2014.7547543146093
0.9097,2488,1932.5786523029567
0.9097,2488,1925.09915356711
0.9097,2488,1805.4434428932616
0.9097,2488,2050.082554688359
0.9097,2488,2054.239199736177
0.9097,2488,2015.55303946356
0.9097,2488,1997.7414532263383
0.9097,2488,2074.806529625151
0.9097,2488,2001.822249093108
0.9097,2488,1891.100692536001
0.9097,2488,1903.3212047927889
0.9097,2488,2015.713641859954
0.9097,2488,1990.494778498406
0.9097,2488,1829.5394085962407
0.9097,2488,1892.458502803122
0.9097,2488,1952.602066615368
0.9097,2488,1922.092777838848
0.9097,2488,2014.176651643399
0.9097,2488,2035.8612729471251
0.9097,2488,1952.3804550950863
0.9097,2488,2016.1565351214688
0.9097,2488,2137.533802352424
0.9097,2488,2076.914147521161
0.9097,2488,2053.2503022974606
0.9097,2488,1910.866879190942
0.9097,2488,1877.193800153897
0.9097,2488,1879.7655270968453
0.9097,2488,2017.80004397054
0.9097,2488,1902.6163570407828
0.9097,2488,2069.0892601956693
0.9097,2488,1978.3435198417064
0.9097,2488,2067.1855556776964
