bin_left_cm,bin_right_cm,summed_intensity_km_mol
0,10,2.7013999999999987
10,20,74.32790000000001
20,30,547.6414
30,40,620.5181000000001
40,50,800.0986
50,60,913.558
60,70,839.3744000000024
70,80,1374.3732999999984
80,90,968.9024999999983
90,100,36756.97350000001
100,110,2087.2786000000488
110,120,2827.1436999999787
120,130,4415.8968000000095
130,140,5120.371699999952
140,150,4128.438100000014
150,160,5293.498499999958
160,170,7550.910100000023
170,180,7352.757900000011
180,190,8114.377100000056
190,200,12268.322800000009
200,210,26751.242799999935
210,220,20499.289800000028
220,230,17509.66080000004
230,240,15723.528800000058
240,250,18512.92530000012
250,260,16464.273599999957
260,270,13069.920199999906
270,280,15627.333399999945
280,290,11576.006599999877
290,300,13908.77210000006
300,310,11355.841899999825
310,320,8258.79709999985
320,330,11468.115700000082
330,340,10569.560299999779
340,350,13135.44200000004
350,360,12410.384899999772
360,370,42839.61979999993
370,380,11557.296000000031
380,390,21933.69770000002
390,400,17162.868499999982
400,410,28752.74639999983
410,420,23240.545199999993
420,430,21162.639800000063
430,440,26958.638600000122
440,450,25559.14240000001
450,460,22251.79479999945
460,470,23885.56630000018
470,480,23176.050499999896
480,490,21612.659099999582
490,500,28280.70810000028
500,510,22464.67559999961
510,520,44469.77779999946
520,530,21126.593900000094
530,540,19868.566600000137
540,550,18764.58409999998
550,560,19156.5722999993
560,570,22562.553899999824
570,580,25153.047199999914
580,590,36433.86779999954
590,600,25792.882199999993
600,610,30700.94709999964
610,620,19784.294399999548
620,630,21610.238200000138
630,640,30627.26139999996
640,650,19643.79409999959
650,660,14980.199900000356
660,670,18410.183100000024
670,680,18029.940699999453
680,690,24785.453100000042
690,700,17698.666099999566
700,710,21064.605100000277
710,720,27763.640300000552
720,730,32853.14180000033
730,740,38037.08230000036
740,750,85501.44559999928
750,760,95152.09839999978
760,770,31433.47660000017
770,780,56423.67769999965
780,790,63934.96880000038
790,800,62104.40119999973
800,810,62728.483299999265
810,820,48358.37189999968
820,830,43612.99120000005
830,840,61288.58609999926
840,850,56544.93890000065
850,860,52791.9889
860,870,79377.77020000131
870,880,93795.84879999957
880,890,147955.49319999944
890,900,156927.20660000015
900,910,41963.71139999991
910,920,35716.608499999624
920,930,32646.483499998692
930,940,30267.631599999964
940,950,32694.74950000178
950,960,22810.892100000754
960,970,18565.49540000176
970,980,25905.93600000115
980,990,29871.669400000013
990,1000,28168.339699999895
1000,1010,23771.948799999896
1010,1020,35278.28700000141
1020,1030,48720.562500000466
1030,1040,43259.9421000001
1040,1050,38411.26250000112
1050,1060,69447.40629999992
1060,1070,58482.005899998825
1070,1080,77174.32919999864
1080,1090,95527.20020000031
1090,1100,82298.75699999975
1100,1110,82407.18639999814
1110,1120,101147.12570000067
1120,1130,121878.83719999995
1130,1140,124096.97340000235
1140,1150,116667.0298999981
1150,1160,133042.65340000065
1160,1170,129553.42819999764
1170,1180,110279.53970000055
1180,1190,92392.56189999823
1190,1200,99529.24579999875
1200,1210,94149.50289999973
1210,1220,87090.80819999985
1220,1230,88142.06510000024
1230,1240,85200.09879999887
1240,1250,99450.00720000267
1250,1260,97523.72310000006
1260,1270,112298.65849999897
1270,1280,101937.7539999988
1280,1290,105578.05639999826
1290,1300,113134.30009999964
1300,1310,115300.30219999887
1310,1320,114216.59760000184
1320,1330,98272.57189999893
1330,1340,90519.48449999932
1340,1350,77006.45350000076
1350,1360,79151.19870000053
1360,1370,70562.73689999618
1370,1380,63447.61340000015
1380,1390,64865.709900001064
1390,1400,61278.89129999746
1400,1410,65663.54440000188
1410,1420,63867.7676000027
1420,1430,65978.74150000047
1430,1440,76031.68790000398
1440,1450,73373.0085000014
1450,1460,75661.81500000227
1460,1470,76106.67320000194
1470,1480,71103.29630000144
1480,1490,71965.30699999817
1490,1500,72379.8060999997
1500,1510,72147.11680000182
1510,1520,63582.29139999859
1520,1530,61219.88339999877
1530,1540,56353.759899999015
1540,1550,90064.75300000235
1550,1560,114605.85170000233
1560,1570,118248.8462999994
1570,1580,120593.95500000007
1580,1590,121149.88170000073
1590,1600,128027.23599999398
1600,1610,114509.58140000328
1610,1620,72533.39219999779
1620,1630,43764.149399996735
1630,1640,23462.76470000297
1640,1650,11852.392799998634
1650,1660,6052.748100001365
1660,1670,6831.871300000697
1670,1680,10546.289499999955
1680,1690,14286.99189999979
1690,1700,17343.066099999472
1700,1710,21374.871400000528
