uid,formula,charge,n_c,frequency_cm,scale,frequency_unscaled_cm,intensity_km_mol,symmetry,family
617,C384H48,0,384,4.7779,0.9563,4.996235490954721,0.4086,A2U,low / skeletal
617,C384H48,0,384,6.9502,0.9563,7.267802990693297,0.0,E2U,low / skeletal
617,C384H48,0,384,6.9502,0.9563,7.267802990693297,0.0,E2U,low / skeletal
617,C384H48,0,384,12.9474,0.9563,13.539056781344764,0.0,B1G,low / skeletal
617,C384H48,0,384,16.0504,0.9563,16.78385443898358,0.0,B2G,low / skeletal
617,C384H48,0,384,16.6358,0.9563,17.396005437624176,0.0,E1G,low / skeletal
617,C384H48,0,384,16.6358,0.9563,17.396005437624176,0.0,E1G,low / skeletal
617,C384H48,0,384,22.9968,0.9563,24.047683781240195,0.0,E2U,low / skeletal
617,C384H48,0,384,22.9968,0.9563,24.047683781240195,0.0,E2U,low / skeletal
617,C384H48,0,384,31.8963,0.9563,33.3538638502562,1.1156,A2U,low / skeletal
617,C384H48,0,384,32.3488,0.9563,33.82704172330858,0.0,E2U,low / skeletal
617,C384H48,0,384,32.3488,0.9563,33.82704172330858,0.0,E2U,low / skeletal
617,C384H48,0,384,34.9039,0.9563,36.498902018195125,0.0,E1G,low / skeletal
617,C384H48,0,384,34.9039,0.9563,36.498902018195125,0.0,E1G,low / skeletal
617,C384H48,0,384,43.2292,0.9563,45.204642894489176,0.0,B1G,low / skeletal
617,C384H48,0,384,48.2984,0.9563,50.50548990902436,0.0442,A2U,low / skeletal
617,C384H48,0,384,49.7545,0.9563,52.02812924814389,0.0,A1U,low / skeletal
617,C384H48,0,384,51.9773,0.9563,54.35250444421207,0.0,E1G,low / skeletal
617,C384H48,0,384,51.9773,0.9563,54.35250444421207,0.0,E1G,low / skeletal
617,C384H48,0,384,53.6392,0.9563,56.090348217086685,0.0,B2G,low / skeletal
617,C384H48,0,384,62.8317,0.9563,65.70291749451009,0.0,E2U,low / skeletal
617,C384H48,0,384,62.8317,0.9563,65.70291749451009,0.0,E2U,low / skeletal
617,C384H48,0,384,65.5139,0.9563,68.50768587263411,0.0,E1G,low / skeletal
617,C384H48,0,384,65.5139,0.9563,68.50768587263411,0.0,E1G,low / skeletal
617,C384H48,0,384,76.2724,0.9563,79.75781658475374,0.0,E2U,low / skeletal
617,C384H48,0,384,76.2724,0.9563,79.75781658475374,0.0,E2U,low / skeletal
617,C384H48,0,384,79.0588,0.9563,82.67154658579943,2.6847,A2U,low / skeletal
617,C384H48,0,384,84.7674,0.9563,88.64101223465438,0.0,B1G,low / skeletal
617,C384H48,0,384,85.7379,0.9563,89.6558611314441,0.0,E2U,low / skeletal
617,C384H48,0,384,85.7379,0.9563,89.6558611314441,0.0,E2U,low / skeletal
617,C384H48,0,384,86.5365,0.9563,90.49095472132176,0.0,E1G,low / skeletal
617,C384H48,0,384,86.5365,0.9563,90.49095472132176,0.0,E1G,low / skeletal
617,C384H48,0,384,95.9142,0.9563,100.2971870751856,0.0,E2G,low / skeletal
617,C384H48,0,384,95.9142,0.9563,100.2971870751856,0.0,E2G,low / skeletal
617,C384H48,0,384,98.2363,0.9563,102.72539997908606,0.0,B2G,low / skeletal
617,C384H48,0,384,103.6527,0.9563,108.38931297709922,12.2278,E1U,low / skeletal
617,C384H48,0,384,103.6527,0.9563,108.38931297709922,12.2278,E1U,low / skeletal
617,C384H48,0,384,106.1009,0.9563,110.94938826728011,0.1321,A2U,low / skeletal
617,C384H48,0,384,106.15,0.9563,111.00073198786993,0.0,B1G,low / skeletal
617,C384H48,0,384,109.708,0.9563,114.72132176095369,0.0,E1G,low / skeletal
617,C384H48,0,384,109.708,0.9563,114.72132176095369,0.0,E1G,low / skeletal
617,C384H48,0,384,110.8791,0.9563,115.94593746732195,0.0,E2U,low / skeletal
617,C384H48,0,384,110.8791,0.9563,115.94593746732195,0.0,E2U,low / skeletal
617,C384H48,0,384,113.4702,0.9563,118.6554428526613,0.0,B2G,low / skeletal
617,C384H48,0,384,115.8055,0.9563,121.09745895639443,0.0,A1U,low / skeletal
617,C384H48,0,384,121.7822,0.9563,127.34727595942697,0.0,A1G,low / skeletal
617,C384H48,0,384,129.8553,0.9563,135.7892920631601,0.0,E2U,low / skeletal
617,C384H48,0,384,129.8553,0.9563,135.7892920631601,0.0,E2U,low / skeletal
617,C384H48,0,384,131.047,0.9563,137.03544912684302,0.0,E1G,low / skeletal
617,C384H48,0,384,131.047,0.9563,137.03544912684302,0.0,E1G,low / skeletal
617,C384H48,0,384,139.1707,0.9563,145.5303774966015,0.0,B2U,low / skeletal
617,C384H48,0,384,140.2153,0.9563,146.62271253790652,0.0,E1G,low / skeletal
