uid,formula,charge,n_c,n_h,n_n,n_o,n_atoms,symmetry,method,basis,scales_seen,n_modes,weight,total_e,vib_e,n_solo,n_duo,n_trio,n_quartet,n_quintet,n_ch2,n_chx,dois,route,n_ch,n_ch3
100000,C6H6,0,6,6,0,0,12,c2h,B3LYP/N07D,?,,464,78.04695000,-232.19056800,62.95614561,0,0,0,0,0,0,,,benzene,0,0
100003,C6H5CN,0,7,5,1,0,13,c2v,rev-DSDPBEP86/B3LYP/Jun-cc-pVTZ/N07D,?,,594,103.04219900,-323.92288000,62.11465537,0,0,0,0,5,0,,10.1021/acs.jpclett.4c03396,cyanobenzene,0,0
100015,C6H5NC,0,7,5,1,0,13,c2v,B3LYP/N07D,?,,594,103.04219900,-324.40568700,61.75697495,0,0,0,0,5,0,,10.1021/acs.jpca.4c07416,isocyanobenzene,0,0
100005,C8H7N,0,8,7,1,0,16,cs,B3LYP/N07D,?,,945,117.05784900,-363.73961100,81.28005052,0,1,0,1,0,8,,10.1093/mnras/staf1901,indole,0,0
100004,C9H8,0,9,8,0,0,17,c1,B3LYP/N07D,?,,1080,116.06260000,-347.62838500,85.83827952,0,0,0,4,0,0,,10.1093/mnras/stae2588,2-ethynyltoluene,0,1
100008,C9H8,0,9,8,0,0,17,cs,B3LYP/N07D,?,,1080,116.06260000,-347.67209300,87.96239918,2,0,0,4,0,2,,10.1093/mnras/stae2588,indene,0,0
100016,C9H7CN,0,10,7,1,0,18,c1,B3LYP/N07D,?,,1224,141.05784900,-439.92346600,87.24390080,1,0,0,4,0,1,,10.1021/acsearthspacechem.4c00270,2-cyanoindene,0,0
330,C10H8,0,10,8,0,0,18,d2h,B3LYP/N07D,?,,1222,128.06260000,-385.79526600,92.35559319,0,0,0,8,0,0,,10.1063/1.4936779,naphthalene,0,0
100014,C9H7CN+,1,10,7,1,0,18,c1,B3LYP/N07D,?,,1224,141.05784900,-439.61985500,86.80401664,1,0,0,4,0,1,,10.1021/acsearthspacechem.4c00270,2-cyanoindene,0,0
465,C10H7CN,0,11,7,1,0,19,cs,B3LYP/N07D,?,,1377,153.05784900,-478.01155900,91.17838537,0,0,3,4,0,0,,10.1093/mnrasl/slae037,1-cyanonaphthalene,0,0
100017,C10H7NC,0,11,7,1,0,19,cs,B3LYP/N07D,?,,1377,153.05784900,-478.01155900,91.17838537,0,0,3,4,0,0,,10.1021/acs.jpca.4c07416,1-cyanonaphthalene,0,0
463,C10H7CN,0,11,7,1,0,19,cs,B3LYP/N07D,?,,1377,153.05784900,-478.04403500,91.44570442,1,2,0,4,0,0,,10.1093/mnrasl/slae037,2-cyanonaphthalene,0,0
100018,C10H7NC,0,11,7,1,0,19,cs,B3LYP/N07D,?,,1377,153.05784900,-478.01192100,91.07359128,1,2,0,4,0,0,,10.1021/acs.jpca.4c07416,2-Cyanonaphthalene,0,0
100001,C12H8,0,12,8,0,0,20,cs,B3LYP/N07D,?,,1539,152.06260000,-461.93568300,98.88106448,1,0,3,4,0,0,,10.1039/D5CP00630A,benzopentalene,0,0
100002,C12H8,0,12,8,0,0,20,d2h,B3LYP/N07D,?,,1538,152.06260000,-461.92594100,99.17662146,0,0,0,8,0,0,,10.1039/D5CP00630A,biphenylene,0,0
100007,C7H12N2,0,7,12,2,0,21,c1,B3LYP/N07D,?,,1710,124.10004800,-383.33704700,117.47166093,0,0,0,0,0,6,,10.1093/mnras/staf1901,"1,5-diazabicyclo[4.3.0]non-5-ene | Also known as DBN",0,0
265,C14H10,0,14,10,0,0,24,d2h,B3LYP/N07D,?,,2274,178.07825000,-539.39465600,121.52348977,2,0,0,8,0,0,,10.1063/1.4936779,anthracene,0,0
273,C14H10,0,14,10,0,0,24,c2v,B3LYP/N07D,?,,2675,178.07825000,-539.40313400,121.79457387,0,2,0,8,0,0,,10.1080/00268976.2023.2252936,phenanthrene,0,0
365,C14H10+,1,14,10,0,0,24,c2v,B3LYP/N07D,?,,2277,178.07825000,-539.12689700,121.48772173,0,2,0,8,0,0,,10.1080/00268976.2023.2252936,phenanthrene,0,0
100012,C14H9CN,0,15,9,1,0,25,cs,B3LYP/N07D,?,,2484,203.07349900,-631.64375200,120.59414820,2,0,0,7,0,0,,10.1093/mnrasl/slae037,3-cyanoanthracene,0,0
100011,C14H9NC,0,15,9,1,0,25,c1,B3LYP/N07D,?,,2484,203.07349900,-631.61133500,120.32933919,2,0,0,7,0,0,,10.1021/acs.jpca.4c07416,2-isocyanoanthracene,0,0
100013,C14H9CN,0,15,9,1,0,25,cs,B3LYP/N07D,?,,2484,203.07349900,-631.64351800,120.65878168,2,0,0,7,0,0,,10.1093/mnrasl/slae037,2-cyanoanthracene,0,0
100010,C14H9NC,0,15,9,1,0,25,cs,B3LYP/N07D,?,,2484,203.07349900,-631.61164900,120.21513246,2,0,0,7,0,0,,10.1021/acs.jpca.4c07416,3-isocyanoanthracene,0,0
100009,C14H9NC,0,15,9,1,0,25,c1,B3LYP/N07D,?,,2483,203.07349900,-631.61100800,120.40464033,1,0,0,8,0,0,,10.1021/acs.jpca.4c07416,9-isocyanoanthracene,0,0
467,C14H9CN,0,15,9,1,0,25,c2v,rev-DSDPBEP86/B3LYP/Jun-cc-pVTZ/N07D,?,,2484,203.07349900,-630.63876400,120.68890214,1,0,0,8,0,0,,10.1021/acs.jpclett.4c03396,9-cyanoanthracene,0,0
100025,C14H9CN,0,15,9,1,0,25,cs,B3LYP/N07D,?,,2484,203.07349900,-631.64460300,120.92108065,0,2,3,4,0,0,,10.1093/mnrasl/slae037,4-cyanophenanthrene,0,0
100026,C14H9CN,0,15,9,1,0,25,cs,B3LYP/N07D,?,,2484,203.07349900,-631.65149300,120.85017208,0,0,3,4,0,0,,10.1093/mnrasl/slae037,3-cyanophenanthrene,0,0
100027,C14H9CN,0,15,9,1,0,25,cs,B3LYP/N07D,?,,2484,203.07349900,-631.65135300,120.85079959,1,4,0,4,0,0,,10.1093/mnrasl/slae037,2-cyanophenanthrene,0,0
100028,C14H9CN,0,15,9,1,0,25,cs,B3LYP/N07D,?,,2484,203.07349900,-631.65073400,120.90727544,0,2,3,4,0,0,,10.1093/mnrasl/slae037,1-CYanophenanthrene,0,0
100029,C14H9CN,0,15,9,1,0,25,cs,B3LYP/N07D,?,,2484,203.07349900,-631.65065600,120.91166801,1,0,0,8,0,0,,10.1093/mnrasl/slae037,9-cyanophenanthrene,0,0
100030,C14H9NC,0,15,9,1,0,25,cs,B3LYP/N07D,?,,2484,203.07349900,-631.61122800,120.60356084,0,2,3,4,0,0,,10.1021/acs.jpca.4c07416,4-cyanophenanthrene,0,0
100031,C14H9CN,0,15,9,1,0,25,cs,B3LYP/N07D,?,,2484,203.07349900,-631.61938700,120.46990132,0,0,3,4,0,0,,10.1093/mnrasl/slae037,3-cyanophenanthrene,0,0
100032,C14H9NC,0,15,9,1,0,25,cs,B3LYP/N07D,?,,2484,203.07349900,-631.61924400,120.47241136,1,4,0,4,0,0,,10.1021/acs.jpca.4c07416,2-cyanophenanthrene,0,0
