uid,formula,charge,n_c,computed_cm,scaled_cm,predicted_svr_cm,intensity_km_mol,family
143,C48H22,0,48,6.5827,6.3325574,13.7508547904554,0.0009,low / skeletal
143,C48H22,0,48,32.7255,31.481931,38.5895484546713,0.0765,low / skeletal
143,C48H22,0,48,52.4828,50.4884536,57.4166695339791,0.5982,low / skeletal
143,C48H22,0,48,77.7935,74.837347,81.4547838054282,0.9062,low / skeletal
143,C48H22,0,48,113.9439,109.6140318,116.080958726836,0.044,low / skeletal
143,C48H22,0,48,135.1479,130.0122798,136.730881115532,0.3391,low / skeletal
143,C48H22,0,48,141.0552,135.6951024,142.168517891895,0.8835,low / skeletal
143,C48H22,0,48,163.8543,157.6278366,164.080827426955,0.0981,low / skeletal
143,C48H22,0,48,189.9456,182.7276672,188.756153667101,0.0719,low / skeletal
143,C48H22,0,48,218.1586,209.8685732,216.491599252159,0.0023,low / skeletal
143,C48H22,0,48,250.7805,241.250841,247.370002604575,0.2651,low / skeletal
143,C48H22,0,48,251.7325,242.166665,247.844042584675,0.9805,low / skeletal
143,C48H22,0,48,295.9445,284.698609,290.269564399841,0.6965,low / skeletal
143,C48H22,0,48,306.2015,294.565843,300.599855190942,0.1218,low / skeletal
143,C48H22,0,48,308.6476,296.9189912,302.686614472889,0.1607,low / skeletal
143,C48H22,0,48,308.9202,297.1812324,302.817971022409,0.0035,low / skeletal
143,C48H22,0,48,321.8925,309.660585,315.3014626984,0.0709,low / skeletal
143,C48H22,0,48,371.5592,357.4399504,362.949504887574,0.1171,low / skeletal
143,C48H22,0,48,373.6173,359.4198426,364.550850806569,0.9347,low / skeletal
143,C48H22,0,48,389.5174,374.7157388,379.995876661138,0.0417,low / skeletal
143,C48H22,0,48,392.1788,377.2760056,382.915327217492,0.0137,low / skeletal
143,C48H22,0,48,430.5984,414.2356608,419.570024957254,0.099,low / skeletal
143,C48H22,0,48,448.8218,431.7665716,436.139271695188,1.1447,low / skeletal
143,C48H22,0,48,473.6604,455.6613048,460.657998759071,0.0439,low / skeletal
143,C48H22,0,48,476.5664,458.4568768,462.56501268447,5.22,low / skeletal
143,C48H22,0,48,491.2484,472.5809608,476.94296092884,1.1358,low / skeletal
143,C48H22,0,48,508.8976,489.5594912,494.35217716478,0.7278,low / skeletal
143,C48H22,0,48,520.3239,500.5515918,505.249649284582,0.0466,low / skeletal
143,C48H22,0,48,540.1948,519.6673976,524.5904367922,0.2491,low / skeletal
143,C48H22,0,48,547.1224,526.3317488,530.888475884043,9.9646,low / skeletal
143,C48H22,0,48,563.6127,542.1954174,546.048682686257,0.9412,low / skeletal
143,C48H22,0,48,573.281,551.496322,555.819746843764,0.9562,low / skeletal
143,C48H22,0,48,580.8868,558.8131016,562.592428936939,0.0958,low / skeletal
143,C48H22,0,48,593.5332,570.9789384,575.679982208728,1.905,low / skeletal
143,C48H22,0,48,603.8306,580.8850372,584.418583616656,2.9195,low / skeletal
143,C48H22,0,48,608.4971,585.3742102,589.331743004063,3.0847,low / skeletal
143,C48H22,0,48,646.2623,621.7043326,626.146700223015,0.2877,low / skeletal
143,C48H22,0,48,648.7663,624.1131806,628.25478852426,0.1233,low / skeletal
143,C48H22,0,48,659.2157,634.1655034,637.967457778303,12.3175,low / skeletal
143,C48H22,0,48,665.0444,639.7727128,643.717158906753,3.9553,low / skeletal
143,C48H22,0,48,666.7623,641.4253326,644.715663355649,1.0005,low / skeletal
143,C48H22,0,48,682.5289,656.5928018,659.725105464372,0.0808,CH-oop
143,C48H22,0,48,688.2437,662.0904394,665.790498075432,3.1595,CH-oop
143,C48H22,0,48,696.107,669.654934,673.541446092541,3.3397,CH-oop
143,C48H22,0,48,702.6662,675.9648844,679.778767069852,0.6639,CH-oop
143,C48H22,0,48,723.3638,695.8759756,699.646930634099,0.0256,CH-oop
143,C48H22,0,48,734.2245,706.323969,709.968492767134,0.0003,CH-oop
143,C48H22,0,48,738.097,710.049314,712.835467987918,0.5886,CH-oop
143,C48H22,0,48,769.1082,739.8820884,742.334804329871,1.3457,CH-oop
143,C48H22,0,48,782.8296,753.0820752,756.133254792707,0.8401,CH-oop
143,C48H22,0,48,784.5208,754.7090096,750.776662211176,168.4818,CH-oop
143,C48H22,0,48,790.5473,760.5065026,762.682956136157,0.3174,CH-oop
143,C48H22,0,48,796.8121,766.5332402,766.840883578935,53.3405,CH-oop
143,C48H22,0,48,815.9706,784.9637172,788.221454701057,1.0258,CH-oop
143,C48H22,0,48,821.3053,790.0956986,793.274859736329,0.0821,CH-oop
143,C48H22,0,48,833.1029,801.4449898,800.85976362447,69.944,CH-oop
143,C48H22,0,48,835.8703,804.1072286,807.241930445123,0.2113,CH-oop
143,C48H22,0,48,848.2758,816.0413196,818.957303806581,3.9441,CH-oop
143,C48H22,0,48,857.805,825.20841,827.191788614939,0.3017,CH-oop
143,C48H22,0,48,886.503,852.815886,853.78364970131,21.4063,CH-oop
143,C48H22,0,48,895.6737,861.6380994,863.202523240976,1.378,CH-oop
143,C48H22,0,48,898.0326,863.9073612,866.761979748606,0.4122,CH-oop
143,C48H22,0,48,925.6929,890.5165698,891.90931993998,0.1025,CH-oop
143,C48H22,0,48,927.6723,892.4207526,895.040505911125,0.0307,CH-oop
143,C48H22,0,48,933.4662,897.9944844,900.660087344247,0.0015,CH-oop
143,C48H22,0,48,967.8794,931.0999828,933.589549106308,0.011,CH-oop
143,C48H22,0,48,976.1201,939.0275362,940.128062674767,0.0045,CH-oop
143,C48H22,0,48,979.5452,942.3224824,943.272519865724,3.4839,CH-oop
143,C48H22,0,48,1011.5974,973.1566988,974.027870642242,0.7822,ring / CH-ip
143,C48H22,0,48,1026.2172,987.2209464,988.033764415594,0.0073,ring / CH-ip
143,C48H22,0,48,1039.9112,1000.3945744,1002.73439006898,1.925,ring / CH-ip
143,C48H22,0,48,1044.0241,1004.3511842,1006.6481138168,0.0826,ring / CH-ip
143,C48H22,0,48,1057.0801,1016.9110562,1019.25531295026,0.6301,ring / CH-ip
143,C48H22,0,48,1078.4991,1037.5161342,1038.78080031489,2.7951,ring / CH-ip
143,C48H22,0,48,1092.2211,1050.7166982,1051.52158964938,0.6411,ring / CH-ip
143,C48H22,0,48,1106.0477,1064.0178874,1064.77701793204,0.7626,ring / CH-ip
143,C48H22,0,48,1108.8436,1066.7075432,1067.37579687663,4.1762,ring / CH-ip
143,C48H22,0,48,1109.4982,1067.3372684,1067.73118959794,5.6567,ring / CH-ip
143,C48H22,0,48,1112.2546,1069.9889252,1070.63953471379,2.6764,ring / CH-ip
143,C48H22,0,48,1149.0717,1105.4069754,1105.85819903839,2.7016,CH-ip-bend
143,C48H22,0,48,1156.9854,1113.0199548,1113.52672670891,0.0416,CH-ip-bend
143,C48H22,0,48,1163.7916,1119.5675192,1119.77260469361,0.1429,CH-ip-bend
143,C48H22,0,48,1164.9575,1120.689115,1120.81330846983,1.3349,CH-ip-bend
143,C48H22,0,48,1176.3853,1131.6826586,1131.95976051959,2.5534,CH-ip-bend
143,C48H22,0,48,1176.9003,1132.1780886,1132.81457622796,0.9577,CH-ip-bend
143,C48H22,0,48,1190.8491,1145.5968342,1145.76222891653,0.4012,CH-ip-bend
143,C48H22,0,48,1233.9708,1187.0799096,1186.73045697938,0.8265,CH-ip-bend
143,C48H22,0,48,1235.7339,1188.7760118,1188.40793294458,0.2265,CH-ip-bend
143,C48H22,0,48,1240.2923,1193.1611926,1192.7380721043,0.2147,CH-ip-bend
143,C48H22,0,48,1245.1244,1197.8096728,1197.26898988818,3.2899,CH-ip-bend
143,C48H22,0,48,1246.1609,1198.8067858,1198.30302742885,1.5701,CH-ip-bend
143,C48H22,0,48,1257.9412,1210.1394344,1209.77112996232,2.1819,CH-ip-bend
143,C48H22,0,48,1261.3925,1213.459585,1213.54564333139,0.006,CH-ip-bend
143,C48H22,0,48,1276.6449,1228.1323938,1227.60162151076,0.1153,CH-ip-bend
143,C48H22,0,48,1286.9147,1238.0119414,1237.4636433352,0.0856,CH-ip-bend
143,C48H22,0,48,1299.6419,1250.2555078,1249.85090960721,0.2334,CH-ip-bend
143,C48H22,0,48,1303.7526,1254.2100012,1253.88734205405,1.1056,CC-stretch/CH-ip
143,C48H22,0,48,1310.2387,1260.4496294,1260.06219313904,0.7569,CC-stretch/CH-ip
143,C48H22,0,48,1312.564,1262.686568,1262.25676843775,4.9758,CC-stretch/CH-ip
143,C48H22,0,48,1321.9926,1271.7568812,1270.88256587599,6.9506,CC-stretch/CH-ip
143,C48H22,0,48,1335.6676,1284.9122312,1284.42690296727,1.1372,CC-stretch/CH-ip
143,C48H22,0,48,1337.9077,1287.0672074,1286.31304959015,0.3988,CC-stretch/CH-ip
143,C48H22,0,48,1341.8218,1290.8325716,1290.26289403761,1.4663,CC-stretch/CH-ip
143,C48H22,0,48,1348.1264,1296.8975968,1296.61683154905,1.3743,CC-stretch/CH-ip
143,C48H22,0,48,1361.8899,1310.1380838,1310.54543866501,0.7523,CC-stretch/CH-ip
143,C48H22,0,48,1366.0844,1314.1731928,1313.70468639972,0.4493,CC-stretch/CH-ip
143,C48H22,0,48,1371.4411,1319.3263382,1319.00849689034,1.0856,CC-stretch/CH-ip
143,C48H22,0,48,1379.747,1327.316614,1327.22610069904,0.0858,CC-stretch/CH-ip
143,C48H22,0,48,1380.8679,1328.3949198,1328.61980591023,1.5659,CC-stretch/CH-ip
143,C48H22,0,48,1382.0481,1329.5302722,1329.25124787474,0.2621,CC-stretch/CH-ip
143,C48H22,0,48,1389.061,1336.276682,1335.23009772251,2.926,CC-stretch/CH-ip
143,C48H22,0,48,1392.2045,1339.300729,1338.8264125862,2.8499,CC-stretch/CH-ip
143,C48H22,0,48,1399.912,1346.715344,1346.35305263872,1.4068,CC-stretch/CH-ip
143,C48H22,0,48,1407.6234,1354.1337108,1353.88297440028,1.6471,CC-stretch/CH-ip
143,C48H22,0,48,1419.1845,1365.255489,1365.00872864291,0.1663,CC-stretch/CH-ip
143,C48H22,0,48,1425.0562,1370.9040644,1369.6666263314,14.7968,CC-stretch/CH-ip
143,C48H22,0,48,1435.5796,1381.0275752,1380.60668618381,0.6995,CC-stretch/CH-ip
143,C48H22,0,48,1440.7195,1385.972159,1385.14393566594,10.3893,CC-stretch/CH-ip
143,C48H22,0,48,1450.9271,1395.7918702,1394.3853164699,8.2636,CC-stretch/CH-ip
143,C48H22,0,48,1462.4761,1406.9020082,1402.78488180912,76.6627,CC-stretch/CH-ip
143,C48H22,0,48,1471.4856,1415.5691472,1414.3571373561,3.6785,CC-stretch/CH-ip
143,C48H22,0,48,1484.0987,1427.7029494,1426.55185725974,1.069,CC-stretch/CH-ip
143,C48H22,0,48,1502.5171,1445.4214502,1443.53024059946,12.3178,CC-stretch/CH-ip
143,C48H22,0,48,1509.0327,1451.6894574,1450.28094031911,3.3337,CC-stretch/CH-ip
143,C48H22,0,48,1516.012,1458.403544,1456.32217750021,11.5241,CC-stretch/CH-ip
143,C48H22,0,48,1526.8531,1468.8326822,1467.38324086381,1.3253,CC-stretch/CH-ip
143,C48H22,0,48,1530.7929,1472.6227698,1470.79183968069,6.9215,CC-stretch/CH-ip
143,C48H22,0,48,1531.1807,1472.9958334,1471.2905652569,0.3996,CC-stretch/CH-ip
143,C48H22,0,48,1548.2149,1489.3827338,1487.04691185322,16.7544,CC-stretch/CH-ip
143,C48H22,0,48,1548.97,1490.10914,1488.36674313805,0.1441,CC-stretch/CH-ip
143,C48H22,0,48,1557.7312,1498.5374144,1496.82868950947,3.9678,CC-stretch/CH-ip
143,C48H22,0,48,1564.5545,1505.101429,1503.15294700637,7.6831,CC-stretch
143,C48H22,0,48,1584.9603,1524.7318086,1522.28050135099,23.4493,CC-stretch
