uid,formula,charge,n_c,rows,pahdb_n_modes,rung
100,C48H20,0,48,79,198,
101,C48H20+,1,48,82,198,
105,C42H18,0,42,42,174,
106,C42H18+,1,42,131,174,
125,C34H16,0,34,121,144,
128,C36H16,0,36,120,150,
131,C40H18,0,40,133,168,
134,C42H18,0,42,139,174,
137,C42H22,0,42,182,186,
140,C44H20,0,44,147,186,
143,C48H22,0,48,163,204,
146,C48H20,0,48,156,198,
149,C50H22,0,50,207,210,
154,C36H16,0,36,73,150,
18,C24H12,0,24,23,102,R3
19,C24H12+,1,24,49,102,
265,C14H10,0,14,27,66,
266,C14H10+,1,14,28,66,
267,C12H8N2,0,12,24,60,
268,C12H8N2+,1,12,25,60,
269,C12H8N2-,-1,12,25,60,
271,C15H9N,0,15,58,69,
272,C15H9N+,1,15,58,69,
273,C14H10,0,14,52,66,
274,C13H9N,0,13,61,63,
275,C13H9N+,1,13,63,63,
280,C18H12,0,18,81,84,R2
281,C18H12+,1,18,83,84,
282,C18H12,0,18,35,84,R2
283,C18H12+,1,18,35,84,
284,C22H12,0,22,76,96,
285,C17H11N,0,17,78,81,
286,C17H11N+,1,17,81,81,
287,C17H11N,0,17,78,81,
291,C18H12,0,18,40,84,R2
292,C18H12+,1,18,42,84,
293,C17H11N,0,17,78,81,
294,C17H11N+,1,17,81,81,
295,C17H11N,0,17,78,81,
296,C17H11N+,1,17,81,81,
297,C17H11N,0,17,78,81,
298,C17H11N+,1,17,81,81,
303,C21H13N,0,21,95,99,
305,C22H14,0,22,82,102,
307,C22H14,0,22,41,102,
309,C21H13N,0,21,80,99,
311,C21H13N,0,21,80,99,
330,C10H8,0,10,19,48,R1
334,C16H10,0,16,29,72,R2
343,C20H12,0,20,72,90,
360,C16H10+,1,16,31,72,
365,C14H10+,1,14,55,66,
367,C20H12+,1,20,73,90,
387,C16H10,0,16,57,72,R2
389,C20H12,0,20,87,90,
390,C20H12+,1,20,89,90,
391,C20H12,0,20,86,90,
392,C20H12+,1,20,89,90,
393,C20H12,0,20,72,90,
394,C20H12+,1,20,75,90,
395,C20H12,0,20,86,90,
396,C20H12+,1,20,89,90,
487,C13H9N,0,13,52,63,
533,C40H22,0,40,134,180,
534,C36H20,0,36,156,162,
536,C32H18,0,32,105,144,
537,C28H16,0,28,101,126,
538,C24H14,0,24,43,108,
540,C40H22+,1,40,133,180,
541,C40H22-,-1,40,75,180,
542,C36H20+,1,36,158,162,
543,C36H20-,-1,36,134,162,
546,C32H18+,1,32,107,144,
547,C32H18-,-1,32,107,144,
549,C24H14+,1,24,44,108,
550,C24H14-,-1,24,46,108,
555,C40H18,0,40,81,168,
813,C28H16-,-1,28,104,126,
830,C17H11N,0,17,77,81,
831,C17H11N,0,17,78,81,
833,C21H13N,0,21,95,99,
