uid,formula,charge,n_c,n_h,n_n,n_o,n_atoms,symmetry,method,basis,scales_seen,n_modes,weight,total_e,vib_e,n_solo,n_duo,n_trio,n_quartet,n_quintet,n_ch2,n_chx,dois,route,n_ch,n_ch3
430,C6H6O,0,6,6,0,1,13,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",33,94.04186000,-307.44114124,65.05460000,0,0,0,4,0,2,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
428,C6H6O,0,6,6,0,1,13,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",33,94.04186000,-307.46486037,65.75550000,0,0,0,0,5,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
431,C6H6O+,1,6,6,0,1,13,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",33,94.04186000,-307.12949358,64.17140000,0,0,0,4,0,2,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
429,C6H6O+,1,6,6,0,1,13,"2-A""",UB3LYP,6-31g*,"0.9597,0.9691,0.9794",33,94.04186000,-307.17051281,65.77760000,0,0,0,0,5,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
432,C6H7O+,1,6,7,0,1,14,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",36,95.04968500,-307.79437258,73.08610000,0,0,0,4,0,2,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
493,C9H7,0,9,7,0,0,16,"2-A""",UB3LYP,6-31g*,"0.9597,0.9691,0.9794",42,115.05477500,-347.12971240,80.34380000,0,0,3,4,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
495,C9H8,0,9,8,0,0,17,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",45,116.06260000,-347.72681095,87.56480000,2,0,0,4,0,2,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
485,C9H7N,0,9,7,1,0,17,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",45,129.05784500,-401.93077491,85.34230000,0,0,3,4,0,0,,10.1016/s0301-0104(98)00139-6,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
483,C9H7N,0,9,7,1,0,17,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",45,129.05784500,-401.92906788,85.38940000,1,2,0,4,0,0,,10.1016/s0301-0104(98)00139-6;10.1016/s1386-1425(97)00022-x,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
494,C9H7+,1,9,7,0,0,16,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",42,115.05477500,-346.86449218,80.93090000,0,0,3,4,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
496,C9H8+,1,9,8,0,0,17,"2-A""",UB3LYP,6-31g*,"0.9597,0.9691,0.9794",45,116.06260000,-347.47851614,87.92220000,2,0,0,4,0,2,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
486,C9H7N+,1,9,7,1,0,17,"2-A""",UB3LYP,6-31g*,"0.9597,0.9691,0.9794",45,129.05784500,-401.63212365,84.51180000,0,0,3,4,0,0,,10.1016/s0301-0104(98)00139-6,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
484,C9H7N+,1,9,7,1,0,17,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",45,129.05784500,-401.63351948,84.65110000,1,2,0,4,0,0,,10.1016/s0301-0104(98)00139-6,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
4415,C9H7+2,2,9,7,0,0,16,"2-A""",UB3LYP,6-31g*,"0.9597,0.9691,0.9794",42,115.05477500,-346.38031083,80.09290000,0,0,3,4,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
4416,C9H8+2,2,9,8,0,0,17,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",45,116.06260000,-347.01324512,87.69420000,2,0,0,4,0,2,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
382,C10H8-,-1,10,8,0,0,18,2-B1G,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",48,128.06260000,-385.86453893,88.81920000,0,0,0,8,0,0,,10.1021/jp952074g;10.1021/jp963740w,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
384,C10H9-,-1,10,9,0,0,19,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",51,129.07042500,-386.45159498,96.43930000,1,2,0,4,0,2,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
383,C10H9-,-1,10,9,0,0,19,1-A,RB3LYP,6-31g*,"0.9597,0.9691,0.9794",51,129.07042500,-386.45852962,96.60140000,0,0,3,4,0,2,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
511,C10H7,0,10,7,0,0,17,2-A',UB3LYP,6-31g*,"0.9597,0.9691,0.9794",45,127.05477500,-385.20513328,84.51620000,1,2,0,4,0,0,,10.1016/s0301-0104(98)00140-2,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
509,C10H7,0,10,7,0,0,17,2-A',UB3LYP,6-31g*,"0.9597,0.9691,0.9794",45,127.05477500,-385.20506019,84.60750000,0,0,3,4,0,0,,10.1016/s0301-0104(98)00140-2,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
523,C10H7O,0,10,7,0,1,18,"2-A""",UB3LYP,6-31g*,"0.9597,0.9691,0.9794",48,143.04968500,-460.47546913,87.17430000,1,2,0,4,0,0,,10.1016/s0301-0104(98)00143-8,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
426,C10H6O2,0,10,6,0,2,18,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",48,158.03677000,-535.11592730,83.54030000,0,2,0,4,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
330,C10H8,0,10,8,0,0,18,1-AG,RB3LYP,6-31g*,"0.9597,0.9691,0.9794",48,128.06260000,-385.89270636,92.73430000,0,0,0,8,0,0,,10.1021/jp952074g;10.1021/jp963740w,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
527,C10H8N,0,10,8,1,0,19,"2-A""",UB3LYP,6-31g*,"0.9597,0.9691,0.9794",51,142.06567000,-440.60002617,94.80800000,1,2,0,4,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
499,C10H8O,0,10,8,0,1,19,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",51,144.05751000,-461.10908316,95.37510000,0,0,3,4,0,0,,10.1016/s0301-0104(98)00143-8,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
497,C10H8O,0,10,8,0,1,19,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",51,144.05751000,-461.10832663,95.16830000,1,2,0,4,0,0,,10.1016/s0301-0104(98)00143-8,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
376,C10H9,0,10,9,0,0,19,"2-A""",UB3LYP,6-31g*,"0.9597,0.9691,0.9794",51,129.07042500,-386.44256892,98.20710000,1,2,0,4,0,2,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
375,C10H9,0,10,9,0,0,19,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",51,129.07042500,-386.45020210,98.32140000,0,0,3,4,0,2,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
475,C10H9N,0,10,9,1,0,20,1-A,RB3LYP,6-31g*,"0.9597,0.9691,0.9794",54,143.07349500,-441.24436120,103.36530000,0,0,3,4,0,0,,10.1016/s0301-0104(98)00139-6,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
473,C10H9N,0,10,9,1,0,20,1-A,RB3LYP,6-31g*,"0.9597,0.9691,0.9794",54,143.07349500,-441.24617824,103.14240000,1,2,0,4,0,0,,10.1016/s0301-0104(98)00139-6,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
424,C10H8O2,0,10,8,0,2,20,1-A,RB3LYP,6-31g*,"0.9597,0.9691,0.9794",54,160.05242000,-536.33943456,98.21440000,0,0,0,4,0,4,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
422,C10H8O2,0,10,8,0,2,20,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",54,160.05242000,-536.32606830,97.89150000,1,2,3,0,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
420,C10H8O2,0,10,8,0,2,20,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",54,160.05242000,-536.32511348,97.98260000,0,0,6,0,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
418,C10H8O2,0,10,8,0,2,20,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",54,160.05242000,-536.32269091,97.87730000,0,2,0,4,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
331,C10H10,0,10,10,0,0,20,1-A,RB3LYP,6-31g*,"0.9597,0.9691,0.9794",54,130.07825000,-387.08208733,107.03500000,0,2,0,4,0,4,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
410,C10H9O2,0,10,9,0,2,21,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",57,161.06024500,-536.87014152,103.51470000,1,2,3,0,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
409,C10H9O2,0,10,9,0,2,21,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",57,161.06024500,-536.86670859,103.65490000,2,4,0,0,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
408,C10H9O2,0,10,9,0,2,21,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",57,161.06024500,-536.86300239,103.39830000,2,4,0,0,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
407,C10H9O2,0,10,9,0,2,21,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",57,161.06024500,-536.87522455,103.84320000,1,2,3,0,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
406,C10H9O2,0,10,9,0,2,21,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",57,161.06024500,-536.86983947,103.50720000,2,0,0,4,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
405,C10H9O2,0,10,9,0,2,21,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",57,161.06024500,-536.87005717,103.92530000,2,0,0,4,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
404,C10H9O2,0,10,9,0,2,21,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",57,161.06024500,-536.87657593,104.05120000,0,2,0,4,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
403,C10H9O2,0,10,9,0,2,21,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",57,161.06024500,-536.87454021,103.96870000,0,0,6,0,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
402,C10H9O2,0,10,9,0,2,21,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",57,161.06024500,-536.86175390,103.37970000,1,2,3,0,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
401,C10H9O2,0,10,9,0,2,21,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",57,161.06024500,-536.87051546,103.63140000,0,0,6,0,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
400,C10H9O2,0,10,9,0,2,21,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",57,161.06024500,-536.86299906,103.58100000,2,0,0,4,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
399,C10H9O2,0,10,9,0,2,21,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",57,161.06024500,-536.87180303,104.25320000,0,2,0,4,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
332,C10H12,0,10,12,0,0,22,1-A,RB3LYP,6-31g*,"0.9597,0.9691,0.9794",60,132.09390000,-388.30641144,122.04320000,0,0,0,4,0,8,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
333,C10H16,0,10,16,0,0,26,1-A,RB3LYP,6-31g*,"0.9597,0.9691,0.9794",72,136.12520000,-390.70916561,151.18580000,0,0,0,0,0,16,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
353,C10H18,0,10,18,0,0,28,1-AG,RB3LYP,6-31g*,"0.9597,0.9691,0.9794",78,138.14085000,-391.93366794,166.41870000,0,0,0,0,0,16,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
352,C10H18,0,10,18,0,0,28,1-A,RB3LYP,6-31g*,"0.9597,0.9691,0.9794",78,138.14085000,-391.91553462,166.46920000,0,0,0,0,0,16,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
512,C10H7+,1,10,7,0,0,17,"3-A""",UB3LYP,6-31g*,"0.9597,0.9691,0.9794",45,127.05477500,-384.92177308,84.31530000,1,2,0,4,0,0,,10.1016/s0301-0104(98)00140-2,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
510,C10H7+,1,10,7,0,0,17,"3-A""",UB3LYP,6-31g*,"0.9597,0.9691,0.9794",45,127.05477500,-384.92416699,84.49950000,0,0,3,4,0,0,,10.1016/s0301-0104(98)00140-2,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
524,C10H7O+,1,10,7,0,1,18,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",48,143.04968500,-460.19670057,87.89810000,1,2,0,4,0,0,,10.1016/s0301-0104(98)00143-8,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
427,C10H6O2+,1,10,6,0,2,18,2-A,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",48,158.03677000,-534.78126465,81.05810000,0,2,0,4,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
359,C10H8+,1,10,8,0,0,18,2-AU,UB3LYP,6-31g*,"0.9597,0.9691,0.9794",48,128.06260000,-385.61361154,92.56990000,0,0,0,8,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
528,C10H8N+,1,10,8,1,0,19,1-A',RB3LYP,6-31g*,"0.9597,0.9691,0.9794",51,142.06567000,-440.33674480,95.94920000,1,2,0,4,0,0,,,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
500,C10H8O+,1,10,8,0,1,19,"2-A""",UB3LYP,6-31g*,"0.9597,0.9691,0.9794",51,144.05751000,-460.84573077,95.66980000,0,0,3,4,0,0,,10.1016/s0301-0104(98)00143-8,"#b3lyp/6-31G* freq guess=check geom=check scf=(xqc,MaxConventional=64 maxcycles=128)",0,0
