band_id,phase,source,record,species,formula,charge,n_c,uid,temperature_K,resolution_cm,frequency_cm,intensity,intensity_unit,snr,fwhm_cm,u_c_cm,u_res_cm,source_ref,role,family,temperature_source,chi_F_cm_per_K,chi_F_source,nu_m_cm,u_296_cm,delta_T_cm,u_T_cm,u_band_cm,u_band_without_T_cm,nu_m_source
1,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,473.7,18.669,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,low / skeletal,,,,,,,,,,
2,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,620.3,4.3359,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,low / skeletal,,,,,,,,,,
3,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,785.8,108.4,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
4,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,957.6,3.252,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,ring / CH-ip (9-10.5 um),,,,,,,,,,
5,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,1014.4,7.8288,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,ring / CH-ip (9-10.5 um),,,,,,,,,,
6,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,1129.1,5.4199,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,CH-ip-bend (8.6 um),,,,,,,,,,
7,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,1140.9,2.168,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,CH-ip-bend (8.6 um),,,,,,,,,,
8,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,1164.6,0.2168,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,CH-ip-bend (8.6 um),,,,,,,,,,
9,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,1214.2,2.168,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,CH-ip-bend (8.6 um),,,,,,,,,,
10,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,1237.1,2.168,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,CH-ip-bend (8.6 um),,,,,,,,,,
11,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,1272.8,7.8288,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
12,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,1361.6,2.168,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
13,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,1391.8,6.6244,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
14,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,1498.9,1.084,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
15,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,1513.0,6.6244,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,CC-stretch (6.2 um),,,,,,,,,,
16,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,1604.4,6.6244,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,CC-stretch (6.2 um),,,,,,,,,,
17,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,1722.4,2.168,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,overtone / combination region,,,,,,,,,,
18,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,1945.1,2.168,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,overtone / combination region,,,,,,,,,,
19,matrix,PAHdb experimental 3.10 (Ar matrix),uid 330,naphthalene,C10H8,0,10,330,10.0,0.9,3071.6,72.266,relative (PAHdb experimental),,,,0.9,10.1021/jp9834816,matrix,CH-stretch,,,,,,,,,,
20,matrix,PAHdb experimental 3.10 (Ar matrix),uid 269,phenazine,C12H8N2-,-1,12,269,,,723.1,45.7,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
21,matrix,PAHdb experimental 3.10 (Ar matrix),uid 269,phenazine,C12H8N2-,-1,12,269,,,826.4,10.1,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
22,matrix,PAHdb experimental 3.10 (Ar matrix),uid 269,phenazine,C12H8N2-,-1,12,269,,,888.0,2.8,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
23,matrix,PAHdb experimental 3.10 (Ar matrix),uid 269,phenazine,C12H8N2-,-1,12,269,,,1018.2,5.4,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,ring / CH-ip (9-10.5 um),,,,,,,,,,
