item,species,formula,frequency_cm,rel_intensity,laser,u_res_cm,u_c_cm,u_T_cm,u_band_cm_lower_bound,family,temperature,table_pages,source
62,ovalene,C32H14,276.0,0.03,FELIX,2.76,,0.0,2.76,low / skeletal,jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,340.4,0.05,FELIX,3.4,,0.0,3.4,low / skeletal,jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,389.9,0.06,FELIX,3.9,,0.0,3.9,low / skeletal,jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,421.8,0.05,FELIX,4.22,,0.0,4.22,low / skeletal,jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,546.6,0.18,FELIX,5.47,,0.0,5.47,low / skeletal,jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,577.5,0.04,FELIX,5.78,,0.0,5.78,low / skeletal,jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,638.3,0.21,FELIX,6.38,,0.0,6.38,low / skeletal,jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,765.2,0.09,FELIX,7.65,,0.0,7.65,CH-oop (10.5-15 um; benzene nu11 at 673 included),jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,779.4,0.07,FELIX,7.79,,0.0,7.79,CH-oop (10.5-15 um; benzene nu11 at 673 included),jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,839.2,0.69,FELIX,8.39,,0.0,8.39,CH-oop (10.5-15 um; benzene nu11 at 673 included),jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,884.0,1.0,FELIX,8.84,,0.0,8.84,CH-oop (10.5-15 um; benzene nu11 at 673 included),jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,918.7,0.25,FELIX,9.19,,0.0,9.19,CH-oop (10.5-15 um; benzene nu11 at 673 included),jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,973.8,0.14,FELIX,9.74,,0.0,9.74,ring / CH-ip (9-10.5 um),jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,1073.4,0.12,FELIX,10.73,,0.0,10.73,ring / CH-ip (9-10.5 um),jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,1120.5,0.08,FELIX,11.21,,0.0,11.21,CH-ip-bend (8.6 um),jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,1165.4,0.71,FELIX,11.65,,0.0,11.65,CH-ip-bend (8.6 um),jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,1245.8,0.53,FELIX,12.46,,0.0,12.46,CH-ip-bend (8.6 um),jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,1277.7,0.13,FELIX,12.78,,0.0,12.78,CC-stretch/CH-ip (7.7 um),jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,1315.3,0.56,FELIX,13.15,,0.0,13.15,CC-stretch/CH-ip (7.7 um),jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,1421.0,0.49,FELIX,14.21,,0.0,14.21,CC-stretch/CH-ip (7.7 um),jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
62,ovalene,C32H14,1533.5,0.22,FELIX,15.34,,0.0,15.34,CC-stretch (6.2 um),jet-cooled (molecular beam),page 9,"Lemmens, Rijs & Buma 2021, ApJ 923, 238, Table A1 pages 9-10 (experimental columns), DOI 10.3847/1538-4357/ac2f9d"
