item,species,formula,pahdb_uid_matrix,frequency_cm,rel_intensity,laser,u_res_cm,u_c_cm,u_T_cm,u_band_cm_lower_bound,family,temperature,source
61,tetracene,C18H12,,548.0,0.19,FELIX,5.48,,0.0,5.48,low / skeletal,jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,604.0,0.11,FELIX,6.04,,0.0,6.04,low / skeletal,jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,623.0,0.05,FELIX,6.23,,0.0,6.23,low / skeletal,jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,631.3,0.04,FELIX,6.31,,0.0,6.31,low / skeletal,jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,738.7,1.0,FELIX,7.39,,0.0,7.39,CH-oop (10.5-15 um; benzene nu11 at 673 included),jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,892.9,0.96,FELIX,8.93,,0.0,8.93,CH-oop (10.5-15 um; benzene nu11 at 673 included),jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,934.4,0.21,FELIX,9.34,,0.0,9.34,CH-oop (10.5-15 um; benzene nu11 at 673 included),jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,952.4,0.18,FELIX,9.52,,0.0,9.52,ring / CH-ip (9-10.5 um),jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,975.8,0.06,FELIX,9.76,,0.0,9.76,ring / CH-ip (9-10.5 um),jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,996.6,0.29,FELIX,9.97,,0.0,9.97,ring / CH-ip (9-10.5 um),jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,1049.4,0.1,FELIX,10.49,,0.0,10.49,ring / CH-ip (9-10.5 um),jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,1123.8,0.35,FELIX,11.24,,0.0,11.24,CH-ip-bend (8.6 um),jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,1081.3,0.11,FELIX,10.81,,0.0,10.81,ring / CH-ip (9-10.5 um),jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,1195.4,0.16,FELIX,11.95,,0.0,11.95,CH-ip-bend (8.6 um),jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,1289.1,0.62,FELIX,12.89,,0.0,12.89,CC-stretch/CH-ip (7.7 um),jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,1328.6,0.42,FELIX,13.29,,0.0,13.29,CC-stretch/CH-ip (7.7 um),jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
61,tetracene,C18H12,,1381.7,0.17,FELIX,13.82,,0.0,13.82,CC-stretch/CH-ip (7.7 um),jet-cooled (molecular beam),"Lemmens et al. 2019, A&A 628, A130, Table A.2 (tetracene, experimental columns)"
