record,species,role,family,n,T_source_K,chi_F,chi_F_source,nu_m,u_296,delta_T,u_T,u_res,u_c_median,u_band_min,u_band_median,decidable_at_2,decidable_at_5,decidable_at_10
C91203_0.jdx,naphthalene,primary,low / skeletal,11,523.15,0.044,floor 0.044 (no measured slope for this family),440.8,3.71,9.99,13.7,8.0,0.255,15.87,15.87,False,False,False
C91203_0.jdx,naphthalene,primary,CH-oop (10.5-15 um; benzene nu11 at 673 included),5,523.15,0.0169,stand-in: pyrene (item 52 Table 1),440.8,1.42,3.84,5.26,8.0,0.838,9.58,9.61,False,False,True
C91203_0.jdx,naphthalene,primary,ring / CH-ip (9-10.5 um),2,523.15,0.044,floor 0.044 (no measured slope for this family),440.8,3.71,9.99,13.7,8.0,0.20800000000000002,15.87,15.87,False,False,False
C91203_0.jdx,naphthalene,primary,CH-ip-bend (8.6 um),1,523.15,0.01,stand-in: pyrene (item 52 Table 1),440.8,0.84,2.27,3.11,8.0,0.375,8.59,8.59,False,False,True
C91203_0.jdx,naphthalene,primary,CC-stretch/CH-ip (7.7 um),4,523.15,0.044,floor 0.044 (no measured slope for this family),440.8,3.71,9.99,13.7,8.0,0.33199999999999996,15.87,15.87,False,False,False
C91203_0.jdx,naphthalene,primary,CC-stretch (6.2 um),3,523.15,0.044,floor 0.044 (no measured slope for this family),440.8,3.71,9.99,13.7,8.0,0.466,15.87,15.88,False,False,False
C91203_0.jdx,naphthalene,primary,overtone / combination region,13,523.15,0.044,floor 0.044 (no measured slope for this family),440.8,3.71,9.99,13.7,8.0,1.174,15.87,15.91,False,False,False
C91203_0.jdx,naphthalene,primary,CH-stretch,2,523.15,0.0201,"measured, naphthalene (item 52 Table 1)",440.8,1.69,4.57,6.26,8.0,0.9405,10.16,10.24,False,False,False
C91203_0.jdx,naphthalene,primary,above 3200,17,523.15,0.044,floor 0.044 (no measured slope for this family),440.8,3.71,9.99,13.7,8.0,0.274,15.87,15.87,False,False,False
C120127_0.jdx,anthracene,primary,low / skeletal,12,523.15,0.044,floor 0.044 (no measured slope for this family),417.0,4.01,9.99,14.0,8.0,0.16449999999999998,16.12,16.13,False,False,False
C120127_0.jdx,anthracene,primary,CH-oop (10.5-15 um; benzene nu11 at 673 included),7,523.15,0.0169,stand-in: pyrene (item 52 Table 1),417.0,1.54,3.84,5.38,8.0,0.938,9.64,9.68,False,False,True
C120127_0.jdx,anthracene,primary,ring / CH-ip (9-10.5 um),3,523.15,0.044,floor 0.044 (no measured slope for this family),417.0,4.01,9.99,14.0,8.0,0.15,16.13,16.13,False,False,False
C120127_0.jdx,anthracene,primary,CH-ip-bend (8.6 um),2,523.15,0.01,stand-in: pyrene (item 52 Table 1),417.0,0.91,2.27,3.18,8.0,11.1405,8.61,16.12,False,False,True
C120127_0.jdx,anthracene,primary,CC-stretch/CH-ip (7.7 um),4,523.15,0.044,floor 0.044 (no measured slope for this family),417.0,4.01,9.99,14.0,8.0,0.3015,16.13,16.13,False,False,False
C120127_0.jdx,anthracene,primary,CC-stretch (6.2 um),2,523.15,0.044,floor 0.044 (no measured slope for this family),417.0,4.01,9.99,14.0,8.0,0.19849999999999998,16.13,16.13,False,False,False
C120127_0.jdx,anthracene,primary,overtone / combination region,10,523.15,0.044,floor 0.044 (no measured slope for this family),417.0,4.01,9.99,14.0,8.0,0.712,16.13,16.14,False,False,False
C120127_0.jdx,anthracene,primary,CH-stretch,1,523.15,0.0284,stand-in: pyrene (item 52 Table 1),417.0,2.59,6.45,9.04,8.0,0.018,12.07,12.07,False,False,False
C120127_0.jdx,anthracene,primary,above 3200,3,523.15,0.044,floor 0.044 (no measured slope for this family),417.0,4.01,9.99,14.0,8.0,1.631,16.2,16.21,False,False,False
C129000_0.jdx,pyrene,primary,low / skeletal,1,523.15,0.044,floor 0.044 (no measured slope for this family),424.5,3.91,9.99,13.9,8.0,1.194,16.09,16.09,False,False,False
C129000_0.jdx,pyrene,primary,CH-oop (10.5-15 um; benzene nu11 at 673 included),5,523.15,0.0169,"measured, pyrene (item 52 Table 1)",424.5,1.5,3.84,5.34,8.0,0.028,9.62,9.62,False,False,True
C129000_0.jdx,pyrene,primary,ring / CH-ip (9-10.5 um),4,523.15,0.044,floor 0.044 (no measured slope for this family),424.5,3.91,9.99,13.9,8.0,0.3165,16.04,16.04,False,False,False
C129000_0.jdx,pyrene,primary,CH-ip-bend (8.6 um),2,523.15,0.01,"measured, pyrene (item 52 Table 1)",424.5,0.89,2.27,3.16,8.0,0.1455,8.6,8.6,False,False,True
C129000_0.jdx,pyrene,primary,CC-stretch/CH-ip (7.7 um),2,523.15,0.044,floor 0.044 (no measured slope for this family),424.5,3.91,9.99,13.9,8.0,0.19999999999999998,16.04,16.04,False,False,False
C129000_0.jdx,pyrene,primary,CC-stretch (6.2 um),4,523.15,0.044,floor 0.044 (no measured slope for this family),424.5,3.91,9.99,13.9,8.0,0.34750000000000003,16.04,16.05,False,False,False
C129000_0.jdx,pyrene,primary,overtone / combination region,8,523.15,0.044,floor 0.044 (no measured slope for this family),424.5,3.91,9.99,13.9,8.0,0.3715,16.04,16.05,False,False,False
C129000_0.jdx,pyrene,primary,CH-stretch,1,523.15,0.0284,"measured, pyrene (item 52 Table 1)",424.5,2.52,6.45,8.97,8.0,0.011,12.02,12.02,False,False,False
C129000_0.jdx,pyrene,primary,above 3200,2,523.15,0.044,floor 0.044 (no measured slope for this family),424.5,3.91,9.99,13.9,8.0,2.0645,16.17,16.18,False,False,False
C218019_0.jdx,chrysene,primary,low / skeletal,1,523.15,0.044,floor 0.044 (no measured slope for this family),417.2,4.0,9.99,14.0,8.0,0.184,16.12,16.12,False,False,False
C218019_0.jdx,chrysene,primary,CH-oop (10.5-15 um; benzene nu11 at 673 included),5,523.15,0.0169,stand-in: pyrene (item 52 Table 1),417.2,1.54,3.84,5.38,8.0,0.052,9.64,9.64,False,False,True
C218019_0.jdx,chrysene,primary,ring / CH-ip (9-10.5 um),2,523.15,0.044,floor 0.044 (no measured slope for this family),417.2,4.0,9.99,14.0,8.0,4.023,16.12,17.05,False,False,False
C218019_0.jdx,chrysene,primary,CH-ip-bend (8.6 um),3,523.15,0.01,stand-in: pyrene (item 52 Table 1),417.2,0.91,2.27,3.18,8.0,0.544,8.61,8.63,False,False,True
C218019_0.jdx,chrysene,primary,CC-stretch/CH-ip (7.7 um),3,523.15,0.044,floor 0.044 (no measured slope for this family),417.2,4.0,9.99,14.0,8.0,0.123,16.12,16.12,False,False,False
C218019_0.jdx,chrysene,primary,CC-stretch (6.2 um),2,523.15,0.044,floor 0.044 (no measured slope for this family),417.2,4.0,9.99,14.0,8.0,0.46799999999999997,16.13,16.13,False,False,False
C218019_0.jdx,chrysene,primary,overtone / combination region,6,523.15,0.044,floor 0.044 (no measured slope for this family),417.2,4.0,9.99,14.0,8.0,1.115,16.12,16.16,False,False,False
C218019_0.jdx,chrysene,primary,CH-stretch,3,523.15,0.0284,stand-in: pyrene (item 52 Table 1),417.2,2.58,6.45,9.03,8.0,1.503,12.07,12.16,False,False,False
C218019_0.jdx,chrysene,primary,above 3200,3,523.15,0.044,floor 0.044 (no measured slope for this family),417.2,4.0,9.99,14.0,8.0,1.71,16.21,16.21,False,False,False
C217594_0.jdx,triphenylene,gas only,low / skeletal,2,523.15,0.044,floor 0.044 (no measured slope for this family),385.9,4.42,9.99,14.42,8.0,0.7725,16.49,16.52,False,False,False
C217594_0.jdx,triphenylene,gas only,CH-oop (10.5-15 um; benzene nu11 at 673 included),5,523.15,0.0169,stand-in: pyrene (item 52 Table 1),385.9,1.7,3.84,5.54,8.0,0.447,9.73,9.74,False,False,True
C217594_0.jdx,triphenylene,gas only,ring / CH-ip (9-10.5 um),2,523.15,0.044,floor 0.044 (no measured slope for this family),385.9,4.42,9.99,14.42,8.0,0.148,16.49,16.49,False,False,False
C217594_0.jdx,triphenylene,gas only,CH-ip-bend (8.6 um),2,523.15,0.01,stand-in: pyrene (item 52 Table 1),385.9,1.0,2.27,3.28,8.0,0.3385,8.65,8.66,False,False,True
C217594_0.jdx,triphenylene,gas only,CC-stretch/CH-ip (7.7 um),3,523.15,0.044,floor 0.044 (no measured slope for this family),385.9,4.42,9.99,14.42,8.0,0.048,16.49,16.49,False,False,False
C217594_0.jdx,triphenylene,gas only,CC-stretch (6.2 um),2,523.15,0.044,floor 0.044 (no measured slope for this family),385.9,4.42,9.99,14.42,8.0,1.4855,16.49,16.59,False,False,False
C217594_0.jdx,triphenylene,gas only,overtone / combination region,12,523.15,0.044,floor 0.044 (no measured slope for this family),385.9,4.42,9.99,14.42,8.0,0.7495,16.49,16.5,False,False,False
C217594_0.jdx,triphenylene,gas only,CH-stretch,2,523.15,0.0284,stand-in: pyrene (item 52 Table 1),385.9,2.85,6.45,9.3,8.0,0.1205,12.27,12.27,False,False,False
C217594_0.jdx,triphenylene,gas only,above 3200,2,523.15,0.044,floor 0.044 (no measured slope for this family),385.9,4.42,9.99,14.42,8.0,4.0335,16.71,17.02,False,False,False
C71432_0.jdx,benzene,gas only,low / skeletal,8,523.15,0.044,floor 0.044 (no measured slope for this family),553.8,2.55,9.99,12.54,8.0,0.6295000000000001,14.88,14.9,False,False,False
C71432_0.jdx,benzene,gas only,CH-oop (10.5-15 um; benzene nu11 at 673 included),5,523.15,0.0169,stand-in: pyrene (item 52 Table 1),553.8,0.98,3.84,4.82,8.0,0.018,9.34,9.34,False,False,True
C71432_0.jdx,benzene,gas only,ring / CH-ip (9-10.5 um),3,523.15,0.044,floor 0.044 (no measured slope for this family),553.8,2.55,9.99,12.54,8.0,0.236,14.88,14.88,False,False,False
C71432_0.jdx,benzene,gas only,CH-ip-bend (8.6 um),2,523.15,0.01,stand-in: pyrene (item 52 Table 1),553.8,0.58,2.27,2.85,8.0,51.952,52.64,52.64,False,False,False
C71432_0.jdx,benzene,gas only,CC-stretch/CH-ip (7.7 um),3,523.15,0.044,floor 0.044 (no measured slope for this family),553.8,2.55,9.99,12.54,8.0,0.115,14.88,14.88,False,False,False
C71432_0.jdx,benzene,gas only,CC-stretch (6.2 um),1,523.15,0.044,floor 0.044 (no measured slope for this family),553.8,2.55,9.99,12.54,8.0,25.431,29.46,29.46,False,False,False
C71432_0.jdx,benzene,gas only,overtone / combination region,11,523.15,0.044,floor 0.044 (no measured slope for this family),553.8,2.55,9.99,12.54,8.0,1.852,14.88,14.99,False,False,False
C71432_0.jdx,benzene,gas only,CH-stretch,4,523.15,0.0284,stand-in: pyrene (item 52 Table 1),553.8,1.64,6.45,8.1,8.0,0.07450000000000001,11.38,11.38,False,False,False
C71432_0.jdx,benzene,gas only,above 3200,2,523.15,0.044,floor 0.044 (no measured slope for this family),553.8,2.55,9.99,12.54,8.0,3.4045,15.24,15.26,False,False,False
C91203_1.jdx,naphthalene,secondary,CH-oop (10.5-15 um; benzene nu11 at 673 included),5,518.15,0.0169,stand-in: pyrene (item 52 Table 1),440.8,1.42,3.75,5.18,4.0,0.181,6.54,6.55,False,False,True
C91203_1.jdx,naphthalene,secondary,ring / CH-ip (9-10.5 um),2,518.15,0.044,floor 0.044 (no measured slope for this family),440.8,3.71,9.77,13.48,4.0,0.13,14.07,14.07,False,False,False
C91203_1.jdx,naphthalene,secondary,CH-ip-bend (8.6 um),1,518.15,0.01,stand-in: pyrene (item 52 Table 1),440.8,0.84,2.22,3.06,4.0,0.281,5.05,5.05,False,False,True
