pair_id,uid,species_name,ladder,family,nu_lab_cm,nu_scaled_cm,y_cm,res_zero,res_family_mean,res_ridge,res_hgb,pred_zero,pred_family_mean,pred_ridge,pred_hgb
1,330,naphthalene,R1 naphthalene,CH-oop (10.5-15 um; benzene nu11 at 673 included),785.8,787.9869,-2.187,-2.187,-3.084422764227642,-1.6744510604865437,2.5738880911187736,0.0,0.897,-0.513,-4.761
2,330,naphthalene,R1 naphthalene,CH-stretch,3071.6,3076.5572,-4.957,-4.957,-3.0818119658119656,-1.908242541496998,-6.544191308259929,0.0,-1.875,-3.049,1.587
3,330,naphthalene,R1 naphthalene,low / skeletal,473.7,481.8409,-8.141,-8.141,-8.009904761904762,-7.407845688915114,-4.681293712240025,0.0,-0.131,-0.733,-3.46
4,330,naphthalene,R1 naphthalene,CC-stretch/CH-ip (7.7 um),1272.8,1256.8352,15.965,15.965,14.58578680981595,14.79543387258924,10.46347434365098,0.0,1.379,1.17,5.502
5,330,naphthalene,R1 naphthalene,ring / CH-ip (9-10.5 um),1014.4,1023.0611,-8.661,-8.661,-7.380231182795699,-4.9892508662450314,-1.1529615965956665,0.0,-1.281,-3.672,-7.508
6,330,naphthalene,R1 naphthalene,CC-stretch (6.2 um),1513.0,1518.4897,-5.49,-5.49,-5.756738255033557,-5.414220118574345,-0.32171170138038097,0.0,0.267,-0.076,-5.168
7,330,naphthalene,R1 naphthalene,CC-stretch/CH-ip (7.7 um),1391.8,1386.8024,4.998,4.998,3.6187868098159512,3.902367832093833,0.2784510868646821,0.0,1.379,1.096,4.72
8,330,naphthalene,R1 naphthalene,CC-stretch (6.2 um),1604.4,1607.2458,-2.846,-2.846,-3.112738255033557,-2.6822090880550347,4.164592738995693,0.0,0.267,-0.164,-7.011
9,330,naphthalene,R1 naphthalene,CH-ip-bend (8.6 um),1129.1,1121.2396,7.86,7.86,7.0010846994535525,7.3060023469012085,2.577277866219416,0.0,0.859,0.554,5.283
10,330,naphthalene,R1 naphthalene,low / skeletal,620.3,622.5014,-2.201,-2.201,-2.069904761904762,-1.441383129317761,-1.4992382420651333,0.0,-0.131,-0.76,-0.702
11,330,naphthalene,R1 naphthalene,CH-oop (10.5-15 um; benzene nu11 at 673 included),957.6,943.7831,13.817,13.817,12.919577235772358,13.52142741294918,5.588783356709008,0.0,0.897,0.296,8.228
12,330,naphthalene,R1 naphthalene,CC-stretch/CH-ip (7.7 um),1361.6,1366.0429,-4.443,-4.443,-5.822213190184049,-5.686228207184248,-12.546808325767037,0.0,1.379,1.243,8.104
13,269,phenazine,,CC-stretch/CH-ip (7.7 um),1309.6,1311.9685,-2.369,-2.369,-3.784402756508423,-2.234395174551929,3.543238086521422,0.0,1.415,-0.135,-5.912
14,269,phenazine,,CC-stretch/CH-ip (7.7 um),1264.0,1270.122,-6.122,-6.122,-7.537402756508422,-6.545345532439149,-9.428843333477097,0.0,1.415,0.423,3.307
15,269,phenazine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),723.1,724.8424,-1.742,-1.742,-2.644047231270358,-1.6381029999365313,-1.9008108872315916,0.0,0.902,-0.104,0.159
16,269,phenazine,,CH-stretch,3042.6,3045.2678,-2.668,-2.668,-0.5214396551724141,0.7312853660562966,1.18790710313423,0.0,-2.147,-3.399,-3.856
17,269,phenazine,,CC-stretch (6.2 um),1589.8,1582.8033,6.997,6.997,6.781090604026845,7.271677024031031,8.935901371181885,0.0,0.216,-0.275,-1.939
18,269,phenazine,,CH-ip-bend (8.6 um),1113.8,1105.1093,8.691,8.691,7.834355191256831,8.514934642636081,9.501262377438756,0.0,0.857,0.176,-0.81
19,269,phenazine,,CH-stretch,3077.7,3050.3854,27.315,27.315,29.46156034482759,30.6142602119822,31.516670236869416,0.0,-2.147,-3.299,-4.202
20,269,phenazine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),826.4,824.2221,2.178,2.178,1.2759527687296417,2.1071563456822187,4.1958966769047175,0.0,0.902,0.071,-2.018
21,269,phenazine,,ring / CH-ip (9-10.5 um),1018.2,1024.758,-6.558,-6.558,-5.265924731182795,-2.561032085148466,-2.4007319978561386,0.0,-1.292,-3.997,-4.157
22,269,phenazine,,CC-stretch (6.2 um),1519.0,1519.186,-0.186,-0.186,-0.40190939597315434,0.5278065591592238,-2.098217981343059,0.0,0.216,-0.714,1.912
23,269,phenazine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),888.0,878.7476,9.252,9.252,8.349952768729642,9.153645872142828,5.445718490550851,0.0,0.902,0.098,3.806
24,267,phenazine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),752.4,758.4262,-6.026,-6.026,-6.933872756933115,-5.543996590603746,-2.677388758801247,0.0,0.908,-0.482,-3.349
25,267,phenazine,,CC-stretch (6.2 um),1517.8,1523.3643,-5.564,-5.564,-5.869110738255033,-5.228649380592493,-6.576659562389766,0.0,0.305,-0.335,1.013
26,267,phenazine,,CH-stretch,3051.0,3060.1129,-9.113,-9.113,-7.2733333333333325,-6.804479608975631,-8.953917175409025,0.0,-1.84,-2.309,-0.159
27,267,phenazine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),820.8,822.5327,-1.733,-1.733,-2.640872756933116,-2.0150149428674204,-0.8246197838796567,0.0,0.908,0.282,-0.908
28,267,phenazine,,CH-ip-bend (8.6 um),1113.4,1127.2294,-13.829,-13.829,-14.731810958904111,-14.271619324345146,-18.30601283170687,0.0,0.903,0.443,4.477
29,267,phenazine,,low / skeletal,596.9,598.3603,-1.46,-1.46,-1.291185344827586,-0.5098349431192015,-0.15197550159426743,0.0,-0.169,-0.95,-1.308
30,267,phenazine,,CC-stretch (6.2 um),1624.1,1638.3069,-14.207,-14.207,-14.512110738255034,-14.158263859851735,-12.017942064800458,0.0,0.305,-0.049,-2.189
31,267,phenazine,,CC-stretch/CH-ip (7.7 um),1369.2,1350.6874,18.513,18.513,17.143420245398776,17.688701975417114,13.089241860739182,0.0,1.37,0.824,5.424
32,267,phenazine,,CH-ip-bend (8.6 um),1139.5,1132.9742,6.526,6.526,5.62318904109589,6.121853293140306,1.0074248169075206,0.0,0.903,0.404,5.519
33,267,phenazine,,CC-stretch/CH-ip (7.7 um),1435.2,1435.6166,-0.417,-0.417,-1.786579754601227,-1.3140774319413466,-0.06346015340254335,0.0,1.37,0.897,-0.354
34,267,phenazine,,CC-stretch/CH-ip (7.7 um),1480.0,1475.2955,4.705,4.705,3.3354202453987734,3.8105518623754207,8.234358449090722,0.0,1.37,0.894,-3.529
35,267,phenazine,,ring / CH-ip (9-10.5 um),997.4,1006.4373,-9.037,-9.037,-7.733772972972973,-5.354984776449441,-8.885068881082852,0.0,-1.303,-3.682,-0.152
36,267,phenazine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),905.5,896.3146,9.185,9.185,8.277127243066884,8.766213098597166,3.9987051580637214,0.0,0.908,0.419,5.186
37,267,phenazine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),658.0,652.407,5.593,5.593,4.685127243066884,4.870920182954013,4.072640637183623,0.0,0.908,0.722,1.52
38,267,phenazine,,ring / CH-ip (9-10.5 um),960.0,956.7497,3.25,3.25,4.553227027027027,6.673067352142267,5.154990257832339,0.0,-1.303,-3.423,-1.905
39,268,phenazine,,CC-stretch/CH-ip (7.7 um),1349.0,1361.615,-12.615,-12.615,-14.090941448382127,-12.811472861487267,-10.00375571990738,0.0,1.476,0.196,-2.611
40,268,phenazine,,CC-stretch/CH-ip (7.7 um),1276.1,1279.2766,-3.177,-3.177,-4.652941448382126,-3.311815371566302,-1.4671824490365932,0.0,1.476,0.135,-1.71
41,268,phenazine,,CH-ip-bend (8.6 um),1137.3,1144.8598,-7.56,-7.56,-8.461046448087432,-7.878184497573111,-10.22644804724749,0.0,0.901,0.318,2.666
42,268,phenazine,,CC-stretch/CH-ip (7.7 um),1361.3,1374.4343,-13.134,-13.134,-14.609941448382127,-13.977946118124915,-15.371464663610343,0.0,1.476,0.844,2.237
43,268,phenazine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),755.5,763.5472,-8.047,-8.047,-8.975053745928339,-8.223753394720791,-8.780857987701589,0.0,0.928,0.177,0.734
44,268,phenazine,,CC-stretch/CH-ip (7.7 um),1243.0,1265.0703,-22.07,-22.07,-23.545941448382127,-23.62283050625451,-12.668201123791068,0.0,1.476,1.553,-9.402
45,268,phenazine,,low / skeletal,567.0,574.2128,-7.213,-7.213,-7.06898275862069,-6.241780213083024,-6.6873247565207015,0.0,-0.144,-0.971,-0.526
46,268,phenazine,,CC-stretch/CH-ip (7.7 um),1494.6,1493.7162,0.884,0.884,-0.5919414483821263,0.3959632875297365,-5.519021539022314,0.0,1.476,0.488,6.403
47,268,phenazine,,CC-stretch (6.2 um),1590.0,1572.8275,17.172,17.172,16.991464882943145,17.598823072369687,10.575885688377802,0.0,0.181,-0.427,6.596
48,268,phenazine,,CC-stretch/CH-ip (7.7 um),1464.5,1456.507,7.993,7.993,6.517058551617874,7.286224364782189,5.344724572608043,0.0,1.476,0.707,2.648
49,268,phenazine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),826.4,830.4169,-4.017,-4.017,-4.945053745928339,-4.162311964484561,-5.018989772702998,0.0,0.928,0.145,1.002
50,268,phenazine,,ring / CH-ip (9-10.5 um),1022.5,1021.9916,0.508,0.508,1.8380645161290323,4.3047323142062695,9.988925816062682,0.0,-1.33,-3.797,-9.481
51,268,phenazine,,CH-stretch,3095.0,3090.1516,4.848,4.848,6.806991452991452,7.130657880630099,8.062751041416636,0.0,-1.959,-2.283,-3.215
52,268,phenazine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),897.9,892.1159,5.784,5.784,4.855946254071661,5.505691904486621,2.2034437132080718,0.0,0.928,0.278,3.581
53,274,"7,8-benzoquinoline",,CH-stretch,3060.3,3060.8424,-0.542,-0.542,1.3691826086956522,1.546907715558156,0.27353231180048776,0.0,-1.911,-2.089,-0.816
54,274,"7,8-benzoquinoline",,CH-oop (10.5-15 um; benzene nu11 at 673 included),745.9,749.9378,-4.038,-4.038,-4.979001644736842,-4.240294762772694,-1.424134850446328,0.0,0.941,0.202,-2.614
55,274,"7,8-benzoquinoline",,CH-oop (10.5-15 um; benzene nu11 at 673 included),834.0,839.3429,-5.343,-5.343,-6.284001644736842,-5.445397822717467,-3.2047159985766713,0.0,0.941,0.102,-2.138
56,274,"7,8-benzoquinoline",,CH-oop (10.5-15 um; benzene nu11 at 673 included),807.6,811.1882,-3.588,-3.588,-4.529001644736843,-4.1887807586955015,-3.8757650543723026,0.0,0.941,0.601,0.288
57,274,"7,8-benzoquinoline",,CC-stretch (6.2 um),1596.2,1599.1485,-2.948,-2.948,-3.1483344594594596,-2.813145950602863,-2.89777121310138,0.0,0.2,-0.135,-0.05
58,274,"7,8-benzoquinoline",,CC-stretch (6.2 um),1632.4,1624.732,7.668,7.668,7.4676655405405405,7.411740560830037,12.859382809757332,0.0,0.2,0.256,-5.191
59,274,"7,8-benzoquinoline",,CH-oop (10.5-15 um; benzene nu11 at 673 included),722.3,725.4231,-3.123,-3.123,-4.064001644736843,-4.062118095007905,-4.354595207790911,0.0,0.941,0.939,1.232
60,274,"7,8-benzoquinoline",,CC-stretch/CH-ip (7.7 um),1447.7,1447.0407,0.659,0.659,-0.6570448222565688,-0.3034700468636845,-5.938858749961363,0.0,1.316,0.962,6.598
61,274,"7,8-benzoquinoline",,CC-stretch/CH-ip (7.7 um),1405.7,1392.2589,13.441,13.441,12.124955177743432,12.702285972519006,4.990416795321373,0.0,1.316,0.739,8.451
62,274,"7,8-benzoquinoline",,CH-oop (10.5-15 um; benzene nu11 at 673 included),826.6,839.8841,-13.284,-13.284,-14.225001644736842,-14.380684801585291,-12.01286586558387,0.0,0.941,1.097,-1.271
63,274,"7,8-benzoquinoline",,CC-stretch/CH-ip (7.7 um),1500.4,1498.6234,1.777,1.777,0.4609551777434311,0.6056414314197742,-0.2052667452966197,0.0,1.316,1.171,1.982
64,274,"7,8-benzoquinoline",,CH-stretch,3033.5,3035.2394,-1.739,-1.739,0.17218260869565216,0.7810529037318343,0.49057236367630996,0.0,-1.911,-2.52,-2.23
65,274,"7,8-benzoquinoline",,CC-stretch (6.2 um),1515.5,1516.2712,-0.771,-0.771,-0.9713344594594595,-0.8966346667740344,-0.7923117990607369,0.0,0.2,0.126,0.021
66,274,"7,8-benzoquinoline",,CC-stretch/CH-ip (7.7 um),1451.0,1443.9799,7.02,7.02,5.703955177743431,5.696466652377067,2.880265278857788,0.0,1.316,1.324,4.14
67,274,"7,8-benzoquinoline",,CH-stretch,3099.3,3101.5874,-2.287,-2.287,-0.37581739130434766,-0.32473628917601083,-4.623636832971163,0.0,-1.911,-1.962,2.337
68,274,"7,8-benzoquinoline",,CH-ip-bend (8.6 um),1133.4,1129.6409,3.759,3.759,2.907402203856749,2.7072197793854302,-4.393647556863144,0.0,0.852,1.052,8.153
69,274,"7,8-benzoquinoline",,ring / CH-ip (9-10.5 um),1095.2,1086.1453,9.055,9.055,10.360420765027323,3.672889561771746,5.492097689545222,0.0,-1.305,5.382,3.563
70,274,"7,8-benzoquinoline",,ring / CH-ip (9-10.5 um),1018.2,1016.3331,1.867,1.867,3.172420765027322,4.961829893042191,7.946787906102048,0.0,-1.305,-3.095,-6.08
71,274,"7,8-benzoquinoline",,CH-oop (10.5-15 um; benzene nu11 at 673 included),740.2,718.5237,21.676,21.676,20.734998355263155,20.532117493479436,21.606524553050548,0.0,0.941,1.144,0.069
72,274,"7,8-benzoquinoline",,ring / CH-ip (9-10.5 um),953.9,956.4661,-2.566,-2.566,-1.2605792349726774,0.34584509333295,-5.446934019593833,0.0,-1.305,-2.912,2.881
73,274,"7,8-benzoquinoline",,CH-ip-bend (8.6 um),1155.6,1151.8849,3.715,3.715,2.863402203856749,2.767940798351467,0.6133607055530517,0.0,0.852,0.947,3.102
74,274,"7,8-benzoquinoline",,CC-stretch/CH-ip (7.7 um),1276.1,1264.1831,11.917,11.917,10.600955177743431,10.215784252557233,10.942942367139954,0.0,1.316,1.701,0.974
75,274,"7,8-benzoquinoline",,CC-stretch (6.2 um),1576.4,1568.4962,7.904,7.904,7.70366554054054,7.777991268389408,3.8121902784237047,0.0,0.2,0.126,4.092
76,274,"7,8-benzoquinoline",,CH-ip-bend (8.6 um),1223.8,1219.5697,4.23,4.23,3.3784022038567496,3.3558049142558133,-0.24838541143630977,0.0,0.852,0.874,4.478
77,274,"7,8-benzoquinoline",,low / skeletal,618.6,619.2443,-0.644,-0.644,-0.3683982683982684,-0.09419507811394179,1.7039533452101705,0.0,-0.276,-0.55,-2.348
78,274,"7,8-benzoquinoline",,CC-stretch/CH-ip (7.7 um),1379.4,1350.6169,28.783,28.783,27.466955177743433,27.12803700995651,29.76167824176248,0.0,1.316,1.655,-0.979
79,274,"7,8-benzoquinoline",,CC-stretch/CH-ip (7.7 um),1331.3,1333.6573,-2.357,-2.357,-3.673044822256569,-3.9252781671579924,-11.809596990071455,0.0,1.316,1.568,9.453
80,274,"7,8-benzoquinoline",,low / skeletal,619.9,596.2172,23.683,23.683,23.958601731601732,23.97644601191755,23.91324369970331,0.0,-0.276,-0.293,-0.23
81,274,"7,8-benzoquinoline",,CH-oop (10.5-15 um; benzene nu11 at 673 included),882.9,880.2344,2.666,2.666,1.7249983552631578,1.703880689316461,-0.8841392944064808,0.0,0.941,0.962,3.55
82,274,"7,8-benzoquinoline",,CH-oop (10.5-15 um; benzene nu11 at 673 included),877.1,878.9321,-1.832,-1.832,-2.7730016447368424,-2.7254891849830005,-5.381243575108587,0.0,0.941,0.893,3.549
83,274,"7,8-benzoquinoline",,CH-oop (10.5-15 um; benzene nu11 at 673 included),944.9,946.618,-1.718,-1.718,-2.659001644736842,-2.651861135890465,-8.834621349147953,0.0,0.941,0.934,7.117
84,274,"7,8-benzoquinoline",,CC-stretch/CH-ip (7.7 um),1300.6,1297.5542,3.046,3.046,1.729955177743431,1.4257571770557744,-6.20146661150207,0.0,1.316,1.62,9.247
85,274,"7,8-benzoquinoline",,ring / CH-ip (9-10.5 um),1022.5,1038.8476,-16.348,-16.348,-15.042579234972676,-13.181732900375085,-8.402081770872842,0.0,-1.305,-3.166,-7.946
86,274,"7,8-benzoquinoline",,CH-ip-bend (8.6 um),1202.4,1201.0109,1.389,1.389,0.5374022038567493,0.3814603181195231,-2.042988539411726,0.0,0.852,1.008,3.432
87,487,acridine,,CC-stretch (6.2 um),1518.9,1525.3062,-6.406,-6.406,-6.723911864406779,-6.091821285093786,-9.462737757057502,0.0,0.318,-0.314,3.057
88,487,acridine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),739.6,742.0121,-2.412,-2.412,-3.3594114754098356,-2.177075458190883,0.1981887632020154,0.0,0.947,-0.235,-2.61
89,487,acridine,,CH-stretch,3061.5,3061.2911,0.209,0.209,2.0306991150442477,2.684465445545379,0.5333576237922328,0.0,-1.822,-2.475,-0.324
90,487,acridine,,CC-stretch (6.2 um),1625.4,1621.3426,4.057,4.057,3.739088135593221,4.210150648079527,3.3059921760244837,0.0,0.318,-0.153,0.751
91,487,acridine,,low / skeletal,601.6,603.0849,-1.485,-1.485,-1.3472608695652175,-0.7957985713440645,1.0427360855929064,0.0,-0.138,-0.689,-2.528
92,487,acridine,,CH-stretch,3083.4,3088.9938,-5.594,-5.594,-3.7723008849557527,-3.1402843322171243,-6.423298666636416,0.0,-1.822,-2.454,0.829
93,487,acridine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),906.8,912.6008,-5.801,-5.801,-6.748411475409836,-6.117562967961347,-8.75457037434461,0.0,0.947,0.317,2.954
94,487,acridine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),906.8,913.3628,-6.563,-6.563,-7.5104114754098354,-7.33549229903094,-12.830375282137961,0.0,0.947,0.772,6.267
95,487,acridine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),854.4,859.6861,-5.286,-5.286,-6.233411475409835,-5.791776476385079,-4.675244677601084,0.0,0.947,0.506,-0.611
96,487,acridine,,CH-ip-bend (8.6 um),1141.5,1136.7547,4.745,4.745,3.913129120879121,4.232503396839854,3.188575630003477,0.0,0.832,0.512,1.556
97,487,acridine,,CC-stretch/CH-ip (7.7 um),1465.7,1465.2169,0.483,0.483,-0.9077461538461539,-0.6954211626813137,3.6806981651542063,0.0,1.391,1.178,-3.198
98,487,acridine,,CC-stretch (6.2 um),1561.0,1555.0718,5.928,5.928,5.61008813559322,5.852717874084624,4.721781956352114,0.0,0.318,0.075,1.206
99,487,acridine,,CH-stretch,3041.1,3043.9142,-2.814,-2.814,-0.9923008849557522,-0.7566318738807176,5.074483382602781,0.0,-1.822,-2.057,-7.888
100,487,acridine,,CC-stretch/CH-ip (7.7 um),1404.8,1394.2735,10.526,10.526,9.135253846153846,9.320044189984387,2.731975535989954,0.0,1.391,1.206,7.794
101,487,acridine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),788.6,788.234,0.366,0.366,-0.581411475409836,-0.30367650853785066,0.14181368147648177,0.0,0.947,0.67,0.224
102,487,acridine,,CH-stretch,3095.6,3089.4749,6.125,6.125,7.946699115044248,8.341599387205413,4.105408673132544,0.0,-1.822,-2.217,2.02
103,487,acridine,,CH-stretch,3033.9,3050.3278,-16.428,-16.428,-14.606300884955752,-14.276340532042667,-11.63540253091858,0.0,-1.822,-2.152,-4.793
104,487,acridine,,ring / CH-ip (9-10.5 um),998.9,1011.186,-12.286,-12.286,-10.965345945945945,-8.776547915393309,-8.959088020870874,0.0,-1.321,-3.509,-3.327
105,487,acridine,,CC-stretch/CH-ip (7.7 um),1374.4,1361.8787,12.521,12.521,11.130253846153847,11.162522577528273,9.566021586137333,0.0,1.391,1.358,2.955
106,487,acridine,,CH-ip-bend (8.6 um),1149.0,1134.489,14.511,14.511,13.67912912087912,13.782465506091947,15.496247668444665,0.0,0.832,0.729,-0.985
107,487,acridine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),655.6,650.6349,4.965,4.965,4.017588524590164,3.980409258920944,3.6752547526161674,0.0,0.947,0.985,1.29
108,487,acridine,,CC-stretch (6.2 um),1565.0,1584.2427,-19.243,-19.243,-19.56091186440678,-19.292775096120973,-18.38040690251047,0.0,0.318,0.05,-0.863
109,487,acridine,,CC-stretch (6.2 um),1631.5,1638.468,-6.968,-6.968,-7.2859118644067795,-7.00170362071302,-0.9718941077785876,0.0,0.318,0.034,-5.996
110,487,acridine,,low / skeletal,618.1,619.754,-1.654,-1.654,-1.5162608695652173,-1.132696673660672,-0.8512120736569895,0.0,-0.138,-0.521,-0.803
111,487,acridine,,CC-stretch/CH-ip (7.7 um),1442.5,1443.4417,-0.942,-0.942,-2.332746153846154,-2.2522758841697414,-9.000084203813534,0.0,1.391,1.31,8.058
112,487,acridine,,low / skeletal,469.7,475.5058,-5.806,-5.806,-5.668260869565217,-5.47756804662744,-4.434777057588612,0.0,-0.138,-0.328,-1.371
113,487,acridine,,CH-oop (10.5-15 um; benzene nu11 at 673 included),815.1,814.7446,0.355,0.355,-0.592411475409836,-0.4354448129877728,-1.0939464224185245,0.0,0.947,0.79,1.449
114,487,acridine,,CH-ip-bend (8.6 um),1169.7,1169.534,0.166,0.166,-0.6658708791208791,-0.575828994060999,-3.4506031996988855,0.0,0.832,0.742,3.617
115,487,acridine,,ring / CH-ip (9-10.5 um),961.3,951.5769,9.723,9.723,11.043654054054056,13.225822398035211,5.853854201432817,0.0,-1.321,-3.503,3.869
116,487,acridine,,CC-stretch/CH-ip (7.7 um),1296.4,1307.2065,-10.806,-10.806,-12.196746153846153,-12.184700590343503,-10.827924658462154,0.0,1.391,1.379,0.022
117,275,"7,8-benzoquinoline",,CH-ip-bend (8.6 um),1243.1,1237.0054,6.095,6.095,5.259444751381215,6.299387096326525,5.802076650169743,0.0,0.836,-0.204,0.293
118,275,"7,8-benzoquinoline",,CC-stretch/CH-ip (7.7 um),1490.7,1488.2079,2.492,2.492,1.1473055555555556,1.593197990403246,2.926162526317485,0.0,1.345,0.899,-0.434
119,275,"7,8-benzoquinoline",,CC-stretch (6.2 um),1536.3,1533.6612,2.639,2.639,2.3615067114093957,3.321481142217856,1.882862144995245,0.0,0.277,-0.682,0.756
120,275,"7,8-benzoquinoline",,CH-ip-bend (8.6 um),1202.6,1198.0029,4.597,4.597,3.761444751381216,4.349220255643022,2.765867157163198,0.0,0.836,0.248,1.831
121,275,"7,8-benzoquinoline",,CC-stretch/CH-ip (7.7 um),1308.2,1306.7096,1.49,1.49,0.14530555555555558,0.5290334337714475,-1.7462887773824651,0.0,1.345,0.961,3.236
122,275,"7,8-benzoquinoline",,CH-ip-bend (8.6 um),1159.9,1157.2908,2.609,2.609,1.7734447513812155,1.913746296721337,-0.16381150479584017,0.0,0.836,0.695,2.773
