pair_id,uid,formula,charge,n_c,n_h,has_n,n_solo,n_duo,n_trio,n_quartet,point_group,ladder,lab_doi,species_name,nu_lab_cm,rel_int_lab,nu_scaled_cm,nu_unscaled_cm,scale,scale_region,intensity_km_mol,log10_intensity,rel_int_comp,irrep,family,n_candidates,y_cm
1,330,C10H8,0,10,8,0,0,0,0,8,1-AG,R1 naphthalene,10.1021/jp9834816,naphthalene,785.8,1.0,787.9869,804.5608535838268,0.9794,0,90.8148,1.9581566308399974,1.0,B3U,CH-oop (10.5-15 um; benzene nu11 at 673 included),1,-2.187
2,330,C10H8,0,10,8,0,0,0,0,8,1-AG,R1 naphthalene,10.1021/jp9834816,naphthalene,3071.6,0.6667,3076.5572,3205.748879858289,0.9597,2,59.4327,1.7740254605032963,0.6544,B2U,CH-stretch,3,-4.957
3,330,C10H8,0,10,8,0,0,0,0,8,1-AG,R1 naphthalene,10.1021/jp9834816,naphthalene,473.7,0.1722,481.8409,491.9755973044721,0.9794,0,12.2288,1.0873838422408988,0.1347,B3U,low / skeletal,1,-8.141
4,330,C10H8,0,10,8,0,0,0,0,8,1-AG,R1 naphthalene,10.1021/jp9834816,naphthalene,1272.8,0.0722,1256.8352,1296.9097100402437,0.9691,1,7.9748,0.9017198001949819,0.0878,B1U,CC-stretch/CH-ip (7.7 um),1,15.965
5,330,C10H8,0,10,8,0,0,0,0,8,1-AG,R1 naphthalene,10.1021/jp9834816,naphthalene,1014.4,0.0722,1023.0611,1044.5794363896262,0.9794,0,4.5771,0.6605904009511723,0.0504,B2U,ring / CH-ip (9-10.5 um),1,-8.661
6,330,C10H8,0,10,8,0,0,0,0,8,1-AG,R1 naphthalene,10.1021/jp9834816,naphthalene,1513.0,0.0611,1518.4897,1566.9071303271078,0.9691,1,7.2978,0.8631919571258374,0.0804,B2U,CC-stretch (6.2 um),1,-5.49
7,330,C10H8,0,10,8,0,0,0,0,8,1-AG,R1 naphthalene,10.1021/jp9834816,naphthalene,1391.8,0.0611,1386.8024,1431.0209472706636,0.9691,1,3.0095,0.4784943476608087,0.0331,B1U,CC-stretch/CH-ip (7.7 um),2,4.998
8,330,C10H8,0,10,8,0,0,0,0,8,1-AG,R1 naphthalene,10.1021/jp9834816,naphthalene,1604.4,0.0611,1607.2458,1658.493241151584,0.9691,1,4.9442,0.6940960302724207,0.0544,B1U,CC-stretch (6.2 um),1,-2.846
9,330,C10H8,0,10,8,0,0,0,0,8,1-AG,R1 naphthalene,10.1021/jp9834816,naphthalene,1129.1,0.05,1121.2396,1156.9906098441854,0.9691,1,3.1219,0.4944189877258401,0.0344,B1U,CH-ip-bend (8.6 um),1,7.86
10,330,C10H8,0,10,8,0,0,0,0,8,1-AG,R1 naphthalene,10.1021/jp9834816,naphthalene,620.3,0.04,622.5014,635.594649785583,0.9794,0,3.4277,0.5350028044862922,0.0377,B2U,low / skeletal,1,-2.201
11,330,C10H8,0,10,8,0,0,0,0,8,1-AG,R1 naphthalene,10.1021/jp9834816,naphthalene,957.6,0.03,943.7831,963.6339595670818,0.9794,0,3.3684,0.527423658682064,0.0371,B3U,CH-oop (10.5-15 um; benzene nu11 at 673 included),1,13.817
12,330,C10H8,0,10,8,0,0,0,0,8,1-AG,R1 naphthalene,10.1021/jp9834816,naphthalene,1361.6,0.02,1366.0429,1409.599525332783,0.9691,1,1.1856,0.07393819063525295,0.0131,B2U,CC-stretch/CH-ip (7.7 um),2,-4.443
13,269,C12H8N2-,-1,12,8,1,0,0,0,8,2-B3U,,10.1016/j.asr.2005.03.127,phenazine,1309.6,1.0,1311.9685,1353.800949334434,0.9691,1,428.6292,2.6320817536561294,1.0,B2U,CC-stretch/CH-ip (7.7 um),1,-2.369
14,269,C12H8N2-,-1,12,8,1,0,0,0,8,2-B3U,,10.1016/j.asr.2005.03.127,phenazine,1264.0,0.3681,1270.122,1310.6201630378705,0.9691,1,154.902,2.190057025140461,0.3614,B2U,CC-stretch/CH-ip (7.7 um),1,-6.122
15,269,C12H8N2-,-1,12,8,1,0,0,0,8,2-B3U,,10.1016/j.asr.2005.03.127,phenazine,723.1,0.2369,724.8424,740.0882172758832,0.9794,0,102.6126,2.011200691911204,0.2394,B3U,CH-oop (10.5-15 um; benzene nu11 at 673 included),1,-1.742
16,269,C12H8N2-,-1,12,8,1,0,0,0,8,2-B3U,,10.1016/j.asr.2005.03.127,phenazine,3042.6,0.2058,3045.2678,3173.1455663228094,0.9597,2,159.0422,2.201512374606381,0.371,B1U,CH-stretch,3,-2.668
17,269,C12H8N2-,-1,12,8,1,0,0,0,8,2-B3U,,10.1016/j.asr.2005.03.127,phenazine,1589.8,0.1058,1582.8033,1633.2713858218967,0.9691,1,3.6251,0.5593199912791986,0.0085,B1U,CC-stretch (6.2 um),1,6.997
18,269,C12H8N2-,-1,12,8,1,0,0,0,8,2-B3U,,10.1016/j.asr.2005.03.127,phenazine,1113.8,0.0881,1105.1093,1140.345991125787,0.9691,1,16.6099,1.2203670177867993,0.0388,B1U,CH-ip-bend (8.6 um),1,8.691
19,269,C12H8N2-,-1,12,8,1,0,0,0,8,2-B3U,,10.1016/j.asr.2005.03.127,phenazine,3077.7,0.0544,3050.3854,3178.4780660623114,0.9597,2,112.256,2.050209563013909,0.2619,B2U,CH-stretch,1,27.315
20,269,C12H8N2-,-1,12,8,1,0,0,0,8,2-B3U,,10.1016/j.asr.2005.03.127,phenazine,826.4,0.0524,824.2221,841.558198897284,0.9794,0,20.0777,1.3027139607379536,0.0468,B2U,CH-oop (10.5-15 um; benzene nu11 at 673 included),1,2.178
21,269,C12H8N2-,-1,12,8,1,0,0,0,8,2-B3U,,10.1016/j.asr.2005.03.127,phenazine,1018.2,0.028,1024.758,1046.3120277721057,0.9794,0,13.4774,1.1296061181219457,0.0314,B2U,ring / CH-ip (9-10.5 um),1,-6.558
22,269,C12H8N2-,-1,12,8,1,0,0,0,8,2-B3U,,10.1016/j.asr.2005.03.127,phenazine,1519.0,0.0275,1519.186,1567.6256320297182,0.9691,1,80.6257,1.9064734982457132,0.1881,B2U,CC-stretch (6.2 um),1,-0.186
23,269,C12H8N2-,-1,12,8,1,0,0,0,8,2-B3U,,10.1016/j.asr.2005.03.127,phenazine,888.0,0.0145,878.7476,897.2305493159076,0.9794,0,9.7393,0.9885277436278865,0.0227,B1U,CH-oop (10.5-15 um; benzene nu11 at 673 included),2,9.252
24,267,C12H8N2,0,12,8,1,0,0,0,8,1-AG,,10.1016/j.asr.2005.03.127,phenazine,752.4,1.0,758.4262,774.3783949356748,0.9794,0,121.1559,2.0833445680818814,1.0,B3U,CH-oop (10.5-15 um; benzene nu11 at 673 included),1,-6.026
25,267,C12H8N2,0,12,8,1,0,0,0,8,1-AG,,10.1016/j.asr.2005.03.127,phenazine,1517.8,0.318,1523.3643,1571.9371581880096,0.9691,1,33.2603,1.5219261621341613,0.2745,B2U,CC-stretch (6.2 um),1,-5.564
26,267,C12H8N2,0,12,8,1,0,0,0,8,1-AG,,10.1016/j.asr.2005.03.127,phenazine,3051.0,0.2866,3060.1129,3188.614046056059,0.9597,2,8.2021,0.9139250599018979,0.0677,B1U,CH-stretch,2,-9.113
27,267,C12H8N2,0,12,8,1,0,0,0,8,1-AG,,10.1016/j.asr.2005.03.127,phenazine,820.8,0.1715,822.5327,839.8332652644475,0.9794,0,16.982,1.229988836544811,0.1402,B2U,CH-oop (10.5-15 um; benzene nu11 at 673 included),1,-1.733
28,267,C12H8N2,0,12,8,1,0,0,0,8,1-AG,,10.1016/j.asr.2005.03.127,phenazine,1113.4,0.1578,1127.2294,1163.171396140749,0.9691,1,10.1684,1.0072526219652969,0.0839,B2U,CH-ip-bend (8.6 um),2,-13.829
29,267,C12H8N2,0,12,8,1,0,0,0,8,1-AG,,10.1016/j.asr.2005.03.127,phenazine,596.9,0.1264,598.3603,610.9457831325301,0.9794,0,14.7822,1.1697390738935927,0.122,B2U,low / skeletal,1,-1.46
30,267,C12H8N2,0,12,8,1,0,0,0,8,1-AG,,10.1016/j.asr.2005.03.127,phenazine,1624.1,0.1055,1638.3069,1690.544732225777,0.9691,1,2.4806,0.3945567393636564,0.0205,B1U,CC-stretch (6.2 um),1,-14.207
31,267,C12H8N2,0,12,8,1,0,0,0,8,1-AG,,10.1016/j.asr.2005.03.127,phenazine,1369.2,0.0789,1350.6874,1393.7544113094625,0.9691,1,23.83,1.3771240423464561,0.1967,B2U,CC-stretch/CH-ip (7.7 um),1,18.513
32,267,C12H8N2,0,12,8,1,0,0,0,8,1-AG,,10.1016/j.asr.2005.03.127,phenazine,1139.5,0.0692,1132.9742,1169.099370549995,0.9691,1,12.0143,1.0796984721858238,0.0992,B1U,CH-ip-bend (8.6 um),2,6.526
33,267,C12H8N2,0,12,8,1,0,0,0,8,1-AG,,10.1016/j.asr.2005.03.127,phenazine,1435.2,0.0604,1435.6166,1481.3916004540297,0.9691,1,8.4116,0.924878612335357,0.0694,B2U,CC-stretch/CH-ip (7.7 um),1,-0.417
34,267,C12H8N2,0,12,8,1,0,0,0,8,1-AG,,10.1016/j.asr.2005.03.127,phenazine,1480.0,0.0419,1475.2955,1522.3356722732433,0.9691,1,5.6181,0.7495894652076159,0.0464,B1U,CC-stretch/CH-ip (7.7 um),1,4.705
35,267,C12H8N2,0,12,8,1,0,0,0,8,1-AG,,10.1016/j.asr.2005.03.127,phenazine,997.4,0.0354,1006.4373,1027.605983255054,0.9794,0,5.4162,0.7336946928433866,0.0447,B2U,ring / CH-ip (9-10.5 um),1,-9.037
36,267,C12H8N2,0,12,8,1,0,0,0,8,1-AG,,10.1016/j.asr.2005.03.127,phenazine,905.5,0.0193,896.3146,915.167041045538,0.9794,0,3.4934,0.5432483159115936,0.0288,B1U,CH-oop (10.5-15 um; benzene nu11 at 673 included),1,9.185
37,267,C12H8N2,0,12,8,1,0,0,0,8,1-AG,,10.1016/j.asr.2005.03.127,phenazine,658.0,0.0137,652.407,666.1292628139678,0.9794,0,6.2762,0.7976967745440299,0.0518,B1U,CH-oop (10.5-15 um; benzene nu11 at 673 included),1,5.593
38,267,C12H8N2,0,12,8,1,0,0,0,8,1-AG,,10.1016/j.asr.2005.03.127,phenazine,960.0,0.0137,956.7497,976.8732897692464,0.9794,0,1.2573,0.09943891555350681,0.0104,B3U,ring / CH-ip (9-10.5 um),1,3.25
39,268,C12H8N2+,1,12,8,1,0,0,0,8,2-B2G,,10.1016/j.asr.2005.03.127,phenazine,1349.0,1.0,1361.615,1405.0304406150035,0.9691,1,450.7877,2.6539720575626133,0.736,B2U,CC-stretch/CH-ip (7.7 um),2,-12.615
40,268,C12H8N2+,1,12,8,1,0,0,0,8,2-B2G,,10.1016/j.asr.2005.03.127,phenazine,1276.1,0.8206,1279.2766,1320.0666597874315,0.9691,1,612.4756,2.7870887918179013,1.0,B2U,CC-stretch/CH-ip (7.7 um),2,-3.177
41,268,C12H8N2+,1,12,8,1,0,0,0,8,2-B2G,,10.1016/j.asr.2005.03.127,phenazine,1137.3,0.1587,1144.8598,1181.3639459292126,0.9691,1,35.1391,1.5457906339367609,0.0574,B2U,CH-ip-bend (8.6 um),1,-7.56
42,268,C12H8N2+,1,12,8,1,0,0,0,8,2-B2G,,10.1016/j.asr.2005.03.127,phenazine,1361.3,0.1389,1374.4343,1418.258487256217,0.9691,1,66.0921,1.8201495512942867,0.1079,B2U,CC-stretch/CH-ip (7.7 um),2,-13.134
43,268,C12H8N2+,1,12,8,1,0,0,0,8,2-B2G,,10.1016/j.asr.2005.03.127,phenazine,755.5,0.1361,763.5472,779.6071063916683,0.9794,0,119.7993,2.0784542804320445,0.1956,B3U,CH-oop (10.5-15 um; benzene nu11 at 673 included),1,-8.047
44,268,C12H8N2+,1,12,8,1,0,0,0,8,2-B2G,,10.1016/j.asr.2005.03.127,phenazine,1243.0,0.0923,1265.0703,1305.4073882984214,0.9691,1,1.1374,0.05591322391614873,0.0019,B1U,CC-stretch/CH-ip (7.7 um),1,-22.07
45,268,C12H8N2+,1,12,8,1,0,0,0,8,2-B2G,,10.1016/j.asr.2005.03.127,phenazine,567.0,0.0878,574.2128,586.2903818664488,0.9794,0,47.3266,1.675105305349515,0.0773,B2U,low / skeletal,1,-7.213
46,268,C12H8N2+,1,12,8,1,0,0,0,8,2-B2G,,10.1016/j.asr.2005.03.127,phenazine,1494.6,0.0776,1493.7162,1541.343720978227,0.9691,1,110.0414,2.0415561070575854,0.1797,B2U,CC-stretch/CH-ip (7.7 um),1,0.884
47,268,C12H8N2+,1,12,8,1,0,0,0,8,2-B2G,,10.1016/j.asr.2005.03.127,phenazine,1590.0,0.0757,1572.8275,1622.9775049014552,0.9691,1,45.7103,1.6600140716047327,0.0746,B1U,CC-stretch (6.2 um),1,17.172
48,268,C12H8N2+,1,12,8,1,0,0,0,8,2-B2G,,10.1016/j.asr.2005.03.127,phenazine,1464.5,0.0314,1456.507,1502.948096171706,0.9691,1,53.9744,1.7321878232501318,0.0881,B1U,CC-stretch/CH-ip (7.7 um),2,7.993
49,268,C12H8N2+,1,12,8,1,0,0,0,8,2-B2G,,10.1016/j.asr.2005.03.127,phenazine,826.4,0.0288,830.4169,847.8832958954462,0.9794,0,73.0542,1.8636451892558,0.1193,B2U,CH-oop (10.5-15 um; benzene nu11 at 673 included),1,-4.017
50,268,C12H8N2+,1,12,8,1,0,0,0,8,2-B2G,,10.1016/j.asr.2005.03.127,phenazine,1022.5,0.0197,1021.9916,1043.487441290586,0.9794,0,11.1178,1.0460188571753208,0.0182,B2U,ring / CH-ip (9-10.5 um),1,0.508
51,268,C12H8N2+,1,12,8,1,0,0,0,8,2-B2G,,10.1016/j.asr.2005.03.127,phenazine,3095.0,0.0157,3090.1516,3219.9141398353654,0.9597,2,1.5531,0.19119941970151838,0.0025,B1U,CH-stretch,2,4.848
52,268,C12H8N2+,1,12,8,1,0,0,0,8,2-B2G,,10.1016/j.asr.2005.03.127,phenazine,897.9,0.0052,892.1159,910.880028588932,0.9794,0,11.2393,1.0507392635814312,0.0184,B1U,CH-oop (10.5-15 um; benzene nu11 at 673 included),1,5.784
