id,layer,priority,name,smiles,qm9_label,n_heavy,n_atoms,status,machine,deck,note
A_01f3186607,A,01f3186607fd554cce9385301f7d57d271ca20d1,naphthalene,c1ccc2ccccc2c1,,10,18,pending,,,timing-test
A_8448043181,A,8448043181b9a6b0a233076fe50a805a66aa244a,benzene,c1ccccc1,,6,12,pending,,,timing-test
A_d9139359ab,A,d9139359abf2574e70e0a931e069cc4cbb7cc0bf,azulene,c1ccc2cccc-2cc1,,10,18,pending,,,timing-test
A_fdc27f1bd1,A,fdc27f1bd18c7119c8979e3556b95c7dfbeec22c,biphenyl,c1ccc(-c2ccccc2)cc1,,12,22,pending,,,timing-test
A_ff98e1160d,A,ff98e1160d5751db402968f3941505bd191f103d,quinoline,c1ccc2ncccc2c1,,10,17,pending,,,timing-test
A_014f8519af,A,014f8519afff7406879e52f1c093577c61afda88,diphenylacetylene,C(#Cc1ccccc1)c1ccccc1,,14,24,pending,,,
A_0674939e7f,A,0674939e7fc0de906445b8a729c14054e5d3758f,4-phenylpyridine,c1ccc(-c2ccncc2)cc1,,12,21,pending,,,
A_07cadc7923,A,07cadc7923d9dec03581b954715080bb7ce53306,2-naphthoic_acid,O=C(O)c1ccc2ccccc2c1,,13,21,pending,,,
A_08dde334d8,A,08dde334d8b2047584e6ed1236e9d1382a91ab0a,benzophenone,O=C(c1ccccc1)c1ccccc1,,14,24,pending,,,
A_20db5837c9,A,20db5837c94fc8872f95149ebcbc5feb72973550,dibenzofuran,c1ccc2c(c1)oc1ccccc12,,13,21,pending,,,
A_3100da3761,A,3100da3761e69ce334ea4741b0b9f846f47f0596,benzonitrile,N#Cc1ccccc1,,8,13,pending,,,
A_428228e5a5,A,428228e5a5673d54a771ca088419dc5c08dd3002,fluoranthene,c1ccc2c(c1)-c1cccc3cccc-2c13,,16,26,pending,,,
A_45187bb7c8,A,45187bb7c838623960c1dbfa9b699bff4c5ce8cd,acenaphthylene,C1=Cc2cccc3cccc1c23,,12,20,pending,,,
A_466972291d,A,466972291d76660a91d2397755e061e777774536,1-naphthol,Oc1cccc2ccccc12,,11,19,pending,,,
A_519351d19c,A,519351d19c44d4cf593aaab190431c5ff566c215,2-naphthylamine,Nc1ccc2ccccc2c1,,11,20,pending,,,
A_541c53d1a5,A,541c53d1a5de9d1fac1a681a476ddb73391f82e5,phenanthrene,c1ccc2c(c1)ccc1ccccc12,,14,24,pending,,,
A_593ba8280d,A,593ba8280d9f0773152905ef6b7659ae318e3112,"1,8-naphthalimide-free_diimide_model_1,8-naphthalic_anhydride",O=C1OC(=O)c2cccc3cccc1c23,,15,21,pending,,,
A_5a75c6c39e,A,5a75c6c39eb91c7747a8361729ef50c2d7bdedd5,diphenyl_ether,c1ccc(Oc2ccccc2)cc1,,13,23,pending,,,
A_69789470db,A,69789470db3e97597fe2d91653cecb9f76cf9f95,2-methylnaphthalene,Cc1ccc2ccccc2c1,,11,21,pending,,,
A_6aa211768a,A,6aa211768ac626348f37dd9e5aa3777afbc10df0,1-naphthonitrile,N#Cc1cccc2ccccc12,,12,19,pending,,,
A_72b86c2331,A,72b86c233188904f81f13307c3dabe9c49c9aa15,biphenylene,c1ccc2c(c1)-c1ccccc1-2,,12,20,pending,,,
A_76e053ce6a,A,76e053ce6adcab3257758e60f28c577b01768895,indole,c1ccc2[nH]ccc2c1,,9,16,pending,,,
A_78896cfe24,A,78896cfe24108ff2070536baf7c7dec065249cca,9-methylanthracene,Cc1c2ccccc2cc2ccccc12,,15,27,pending,,,
A_7a57a52879,A,7a57a5287936678e05d19de13ad64335bfffe58b,stilbene_E,C(=C\c1ccccc1)/c1ccccc1,,14,26,pending,,,
A_7aa232d4e9,A,7aa232d4e94e6d150758e5b6cea35572adab40eb,quinoxaline,c1ccc2nccnc2c1,,10,16,pending,,,
A_8152ea74fd,A,8152ea74fdb2b493deb3215628284faa1009e4a8,carbazole,c1ccc2c(c1)[nH]c1ccccc12,,13,22,pending,,,
A_8d1f3c46b0,A,8d1f3c46b0025d5494995f11ede0edcd15350a43,acenaphthene,c1cc2c3c(cccc3c1)CC2,,12,22,pending,,,
A_8f6ed7c002,A,8f6ed7c00299b3952b52e05de9a30c68059c3b57,styrene,C=Cc1ccccc1,,8,16,pending,,,
A_90df3e4aa9,A,90df3e4aa9a62e6dfd194b6224853df06e534a74,indene,C1=Cc2ccccc2C1,,9,17,pending,,,
A_9d7c66d274,A,9d7c66d2741b5cf7942bc10fca359700ef1b1ec5,benzothiophene,c1ccc2sccc2c1,,9,15,pending,,,
A_a1e6ec1862,A,a1e6ec18626b89fd20ac0ce14f9193a2fca16c6a,anthracene,c1ccc2cc3ccccc3cc2c1,,14,24,pending,,,
A_a6412e1ae4,A,a6412e1ae4471e235babb44dc6848e2e5cc27381,acridine,c1ccc2nc3ccccc3cc2c1,,14,23,pending,,,
A_a848c04a21,A,a848c04a214cd07b341b6848cc70afad7614ae1a,phenylacetylene,C#Cc1ccccc1,,8,14,pending,,,
A_aa22880426,A,aa228804261153575a5798bbc569097c4ad3b9c6,quinoline-N-oxide,[O-][n+]1cccc2ccccc21,,11,18,pending,,,
A_b77821c742,A,b77821c742e70013bc39e341b55656da5fa5a314,phenazine,c1ccc2nc3ccccc3nc2c1,,14,22,pending,,,
A_b90527ca2d,A,b90527ca2d5f37c0d78b79e061988dd60e6c48b0,2-phenylpyridine,c1ccc(-c2ccccn2)cc1,,12,21,pending,,,
A_bce5bae234,A,bce5bae2345ae55da36f95c50ced50f2b29df083,phenanthridine,c1ccc2c(c1)cnc1ccccc12,,14,23,pending,,,
A_cce0ad25a5,A,cce0ad25a5a7737c768dc990a313e0ac189d9774,pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,,16,26,pending,,,
A_d037c0ed95,A,d037c0ed95f00dc111d8213e67c2a3ced3415c9e,dibenzothiophene,c1ccc2c(c1)sc1ccccc12,,13,21,pending,,,
A_d09f8d1ef8,A,d09f8d1ef8ecb4ba46e471440a41b345ce7a33da,isoquinoline,c1ccc2cnccc2c1,,10,17,pending,,,
A_d295f2fa80,A,d295f2fa805362740f05aa3829bdac15f96064e5,quinazoline,c1ccc2ncncc2c1,,10,16,pending,,,
A_d551b360c3,A,d551b360c37f259fef62068adba05321fbcbc3b2,1-aminoanthracene,Nc1cccc2cc3ccccc3cc12,,15,26,pending,,,
A_e72997e726,A,e72997e726a45dd7192411a9f0d00dfe1f1c1043,fluorene,c1ccc2c(c1)Cc1ccccc1-2,,13,23,pending,,,
A_ea73419366,A,ea734193665e638a72d97d55f745867efa072c67,1-methylnaphthalene,Cc1cccc2ccccc12,,11,21,pending,,,
A_fead28d796,A,fead28d796a5b1c32cacce2aef128667bf856713,benzofuran,c1ccc2occc2c1,,9,15,pending,,,
A2_00b0ff5a24,A2,00b0ff5a24b3a066f3f6bca1b0acea0c33282ac7,fluoranthene+COOH,O=C(O)c1ccc2cccc3c2c1-c1ccccc1-3,,19,29,pending,,,
A2_00eeb8e5ed,A2,00eeb8e5edcf98d18f4eccb72a2fb82564ee3d3e,quinoxaline+OH,Oc1cnc2ccccc2n1,,11,17,pending,,,
A2_0101e57296,A2,0101e572964271d2e411be6572fbcb31248e5771,fluoranthene+NH2,Nc1ccc2c(c1)-c1cccc3cccc-2c13,,17,28,pending,,,
A2_019964a9ed,A2,019964a9eddb045fd43e27cc52deacc9979229bb,quinoxaline+OH,Oc1ccc2nccnc2c1,,11,17,pending,,,
A2_02c8833bd5,A2,02c8833bd59f9e8b24de67eb6d01c69352a2d42f,fluoranthene+vinyl,C=Cc1ccc2c3c(cccc13)-c1ccccc1-2,,18,30,pending,,,
A2_02f13355a2,A2,02f13355a21a5cc494d520ab54fa89125dcb3b0b,acridine+CN,N#Cc1c2ccccc2nc2ccccc12,,16,24,pending,,,
A2_041da590e8,A2,041da590e841147a643e1633736b9e48d1f26aa2,fluoranthene+CH3,Cc1ccc2cccc3c2c1-c1ccccc1-3,,17,29,pending,,,
A2_0420908ebe,A2,0420908ebec50efa1708435424868a77ab063c67,phenanthridine+CF3,FC(F)(F)c1cccc2ncc3ccccc3c12,,18,26,pending,,,
