224 molecules; pattern pairs per molecule 978–4712 (features 66); hold-out (a) 10, (b) 39 (['fluoranthene', 'fluorene']); pool 175; sizes [45, 100, 175]; seeds [0, 1, 2]; epochs 60
n= 45 (a) B1 MLP: diag CH-stretch   2.20 | CH-oop   9.97 | ring-ip  11.63 | other   7.48 | ring couplings 4.83 vs zero 5.90 (ratio 0.82) | block 5.70 vs median 4.14 | corrected ω 9.96 (zero 24.31) | overlap 0.998 | ΔH residual 0.43
n= 45 (b) B1 MLP: diag CH-stretch   4.70 | CH-oop  10.64 | ring-ip   6.04 | other   8.64 | ring couplings 1.91 vs zero 3.74 (ratio 0.51) | block 1.35 vs median 1.09 | corrected ω 5.99 (zero 23.09) | overlap 0.992 | ΔH residual 0.34
n= 45 (a) B2 GBT: diag CH-stretch   5.03 | CH-oop   6.99 | ring-ip  11.46 | other   7.07 | ring couplings 4.84 vs zero 5.90 (ratio 0.82) | block 5.39 vs median 4.14 | corrected ω 9.63 (zero 24.31) | overlap 0.998 | ΔH residual 0.45
n= 45 (b) B2 GBT: diag CH-stretch   6.11 | CH-oop   7.78 | ring-ip   5.96 | other  11.23 | ring couplings 1.81 vs zero 3.74 (ratio 0.48) | block 1.71 vs median 1.09 | corrected ω 6.32 (zero 23.09) | overlap 0.994 | ΔH residual 0.35
n=100 (a) B1 MLP: diag CH-stretch   1.85 | CH-oop   6.79 | ring-ip  11.22 | other   7.33 | ring couplings 4.82 vs zero 5.90 (ratio 0.82) | block 5.16 vs median 4.12 | corrected ω 9.47 (zero 24.31) | overlap 0.997 | ΔH residual 0.42
n=100 (b) B1 MLP: diag CH-stretch   4.19 | CH-oop   7.24 | ring-ip   4.96 | other   7.49 | ring couplings 1.87 vs zero 3.74 (ratio 0.50) | block 1.17 vs median 1.16 | corrected ω 5.40 (zero 23.09) | overlap 0.992 | ΔH residual 0.34
n=100 (a) B2 GBT: diag CH-stretch   5.42 | CH-oop   7.75 | ring-ip  11.70 | other   7.30 | ring couplings 4.84 vs zero 5.90 (ratio 0.82) | block 5.55 vs median 4.12 | corrected ω 9.83 (zero 24.31) | overlap 0.998 | ΔH residual 0.45
n=100 (b) B2 GBT: diag CH-stretch   6.19 | CH-oop   8.55 | ring-ip   6.25 | other  11.83 | ring couplings 1.83 vs zero 3.74 (ratio 0.49) | block 2.17 vs median 1.16 | corrected ω 6.73 (zero 23.09) | overlap 0.994 | ΔH residual 0.36
n=175 (a) B1 MLP: diag CH-stretch   1.48 | CH-oop   5.19 | ring-ip  11.23 | other   6.98 | ring couplings 4.80 vs zero 5.90 (ratio 0.81) | block 5.18 vs median 4.12 | corrected ω 9.34 (zero 24.31) | overlap 0.998 | ΔH residual 0.41
n=175 (b) B1 MLP: diag CH-stretch   2.75 | CH-oop   6.01 | ring-ip   4.83 | other   6.93 | ring couplings 1.76 vs zero 3.74 (ratio 0.47) | block 1.09 vs median 1.14 | corrected ω 5.14 (zero 23.09) | overlap 0.993 | ΔH residual 0.31
n=175 (a) B2 GBT: diag CH-stretch   5.46 | CH-oop   8.74 | ring-ip  11.76 | other   7.26 | ring couplings 4.85 vs zero 5.90 (ratio 0.82) | block 5.70 vs median 4.12 | corrected ω 9.99 (zero 24.31) | overlap 0.998 | ΔH residual 0.46
n=175 (b) B2 GBT: diag CH-stretch   6.13 | CH-oop   9.65 | ring-ip   6.44 | other  11.69 | ring couplings 1.84 vs zero 3.74 (ratio 0.49) | block 2.33 vs median 1.14 | corrected ω 6.70 (zero 23.09) | overlap 0.994 | ΔH residual 0.37
wrote out/E7_rungB_2026-09-23.json/.md in 251 s
